i,j,k,x,y,z,f
0,0,0,0,0,0,1.13836e-06
0,0,1,0,0,0.19635,2.28797e-06
0,0,2,0,0,0.392699,3.3109e-06
0,0,3,0,0,0.589049,4.1615e-06
0,0,4,0,0,0.785398,4.8253e-06
0,0,5,0,0,0.981748,5.31161e-06
0,0,6,0,0,1.1781,5.64608e-06
0,0,7,0,0,1.37445,5.86202e-06
0,0,8,0,0,1.5708,5.99287e-06
0,0,9,0,0,1.76715,6.06727e-06
0,0,10,0,0,1.9635,6.10695e-06
0,0,11,0,0,2.15984,6.12678e-06
0,0,12,0,0,2.35619,6.13607e-06
0,0,13,0,0,2.55254,6.14014e-06
0,0,14,0,0,2.74889,6.14178e-06
0,0,15,0,0,2.94524,6.14234e-06
0,0,16,0,0,3.14159,6.14234e-06
0,0,17,0,0,3.33794,6.14178e-06
0,0,18,0,0,3.53429,6.14014e-06
0,0,19,0,0,3.73064,6.13607e-06
0,0,20,0,0,3.92699,6.12678e-06
0,0,21,0,0,4.12334,6.10695e-06
0,0,22,0,0,4.31969,6.06727e-06
0,0,23,0,0,4.51604,5.99287e-06
0,0,24,0,0,4.71239,5.86202e-06
0,0,25,0,0,4.90874,5.64608e-06
0,0,26,0,0,5.10509,5.31161e-06
0,0,27,0,0,5.30144,4.8253e-06
0,0,28,0,0,5.49779,4.1615e-06
0,0,29,0,0,5.69414,3.3109e-06
0,0,30,0,0,5.89049,2.28797e-06
0,0,31,0,0,6.08684,1.13836e-06
0,1,0,0,0.19635,0,2.63966e-06
0,1,1,0,0.19635,0.19635,5.30549e-06
0,1,2,0,0.19635,0.392699,7.67762e-06
0,1,3,0,0.19635,0.589049,9.65024e-06
0,1,4,0,0.19635,0.785398,1.11898e-05
0,1,5,0,0.19635,0.981748,1.23177e-05
0,1,6,0,0.19635,1.1781,1.30936e-05
0,1,7,0,0.19635,1.37445,1.35946e-05
0,1,8,0,0.19635,1.5708,1.38982e-05
0,1,9,0,0.19635,1.76715,1.40709e-05
0,1,10,0,0.19635,1.9635,1.4163e-05
0,1,11,0,0.19635,2.15984,1.4209e-05
0,1,12,0,0.19635,2.35619,1.42306e-05
0,1,13,0,0.19635,2.55254,1.424e-05
0,1,14,0,0.19635,2.74889,1.42438e-05
0,1,15,0,0.19635,2.94524,1.42451e-05
0,1,16,0,0.19635,3.14159,1.42451e-05
0,1,17,0,0.19635,3.33794,1.42438e-05
0,1,18,0,0.19635,3.53429,1.424e-05
0,1,19,0,0.19635,3.73064,1.42306e-05
0,1,20,0,0.19635,3.92699,1.4209e-05
0,1,21,0,0.19635,4.12334,1.4163e-05
0,1,22,0,0.19635,4.31969,1.40709e-05
0,1,23,0,0.19635,4.51604,1.38982e-05
0,1,24,0,0.19635,4.71239,1.35946e-05
0,1,25,0,0.19635,4.90874,1.30936e-05
0,1,26,0,0.19635,5.10509,1.23177e-05
0,1,27,0,0.19635,5.30144,1.11898e-05
0,1,28,0,0.19635,5.49779,9.65024e-06
0,1,29,0,0.19635,5.69414,7.67762e-06
0,1,30,0,0.19635,5.89049,5.30549e-06
0,1,31,0,0.19635,6.08684,2.63966e-06
0,2,0,0,0.392699,0,4.74611e-06
0,2,1,0,0.392699,0.19635,9.53937e-06
0,2,2,0,0.392699,0.392699,1.38048e-05
0,2,3,0,0.392699,0.589049,1.73521e-05
0,2,4,0,0.392699,0.785398,2.01208e-05
0,2,5,0,0.392699,0.981748,2.21497e-05
0,2,6,0,0.392699,1.1781,2.35454e-05
0,2,7,0,0.392699,1.37445,2.44468e-05
0,2,8,0,0.392699,1.5708,2.49932e-05
0,2,9,0,0.392699,1.76715,2.5304e-05
0,2,10,0,0.392699,1.9635,2.54698e-05
0,2,11,0,0.392699,2.15984,2.55527e-05
0,2,12,0,0.392699,2.35619,2.55916e-05
0,2,13,0,0.392699,2.55254,2.56086e-05
0,2,14,0,0.392699,2.74889,2.56155e-05
