i,j,k,x,y,z,f
0,0,0,0,0,0,3.49242e-07
0,0,1,0,0,0.19635,6.96593e-07
0,0,2,0,0,0.392699,9.96198e-07
0,0,3,0,0,0.589049,1.23384e-06
0,0,4,0,0,0.785398,1.40792e-06
0,0,5,0,0,0.981748,1.52574e-06
0,0,6,0,0,1.1781,1.5994e-06
0,0,7,0,0,1.37445,1.64193e-06
0,0,8,0,0,1.5708,1.66461e-06
0,0,9,0,0,1.76715,1.67576e-06
0,0,10,0,0,1.9635,1.68081e-06
0,0,11,0,0,2.15984,1.68292e-06
0,0,12,0,0,2.35619,1.68373e-06
0,0,13,0,0,2.55254,1.68401e-06
0,0,14,0,0,2.74889,1.6841e-06
0,0,15,0,0,2.94524,1.68412e-06
0,0,16,0,0,3.14159,1.68412e-06
0,0,17,0,0,3.33794,1.6841e-06
0,0,18,0,0,3.53429,1.68401e-06
0,0,19,0,0,3.73064,1.68373e-06
0,0,20,0,0,3.92699,1.68292e-06
0,0,21,0,0,4.12334,1.68081e-06
0,0,22,0,0,4.31969,1.67576e-06
0,0,23,0,0,4.51604,1.66461e-06
0,0,24,0,0,4.71239,1.64193e-06
0,0,25,0,0,4.90874,1.5994e-06
0,0,26,0,0,5.10509,1.52574e-06
0,0,27,0,0,5.30144,1.40792e-06
0,0,28,0,0,5.49779,1.23384e-06
0,0,29,0,0,5.69414,9.96198e-07
0,0,30,0,0,5.89049,6.96593e-07
0,0,31,0,0,6.08684,3.49242e-07
0,1,0,0,0.19635,0,8.38988e-07
0,1,1,0,0.19635,0.19635,1.67346e-06
0,1,2,0,0.19635,0.392699,2.39327e-06
0,1,3,0,0.19635,0.589049,2.96427e-06
0,1,4,0,0.19635,0.785398,3.3826e-06
0,1,5,0,0.19635,0.981748,3.66576e-06
0,1,6,0,0.19635,1.1781,3.84282e-06
0,1,7,0,0.19635,1.37445,3.94509e-06
0,1,8,0,0.19635,1.5708,3.99962e-06
0,1,9,0,0.19635,1.76715,4.02645e-06
0,1,10,0,0.19635,1.9635,4.03861e-06
0,1,11,0,0.19635,2.15984,4.04369e-06
0,1,12,0,0.19635,2.35619,4.04563e-06
0,1,13,0,0.19635,2.55254,4.04631e-06
0,1,14,0,0.19635,2.74889,4.04652e-06
0,1,15,0,0.19635,2.94524,4.04658e-06
0,1,16,0,0.19635,3.14159,4.04658e-06
0,1,17,0,0.19635,3.33794,4.04652e-06
0,1,18,0,0.19635,3.53429,4.04631e-06
0,1,19,0,0.19635,3.73064,4.04563e-06
0,1,20,0,0.19635,3.92699,4.04369e-06
0,1,21,0,0.19635,4.12334,4.03861e-06
0,1,22,0,0.19635,4.31969,4.02645e-06
0,1,23,0,0.19635,4.51604,3.99962e-06
0,1,24,0,0.19635,4.71239,3.94509e-06
0,1,25,0,0.19635,4.90874,3.84282e-06
0,1,26,0,0.19635,5.10509,3.66576e-06
0,1,27,0,0.19635,5.30144,3.3826e-06
0,1,28,0,0.19635,5.49779,2.96427e-06
0,1,29,0,0.19635,5.69414,2.39327e-06
0,1,30,0,0.19635,5.89049,1.67346e-06
0,1,31,0,0.19635,6.08684,8.38988e-07
0,2,0,0,0.392699,0,1.58371e-06
0,2,1,0,0.392699,0.19635,3.15897e-06
0,2,2,0,0.392699,0.392699,4.51789e-06
0,2,3,0,0.392699,0.589049,5.596e-06
0,2,4,0,0.392699,0.785398,6.386e-06
0,2,5,0,0.392699,0.981748,6.92083e-06
0,2,6,0,0.392699,1.1781,7.25536e-06
0,2,7,0,0.392699,1.37445,7.44864e-06
0,2,8,0,0.392699,1.5708,7.55173e-06
0,2,9,0,0.392699,1.76715,7.60247e-06
0,2,10,0,0.392699,1.9635,7.62548e-06
0,2,11,0,0.392699,2.15984,7.63508e-06
0,2,12,0,0.392699,2.35619,7.63876e-06
0,2,13,0,0.392699,2.55254,7.64005e-06
0,2,14,0,0.392699,2.74889,7.64045e-06
0,2,15,0,0.392699,2.94524,7.64057e-06
0,2,16,0,0.392699,3.14159,7.64057e-06
0,2,17,0,0.392699,3.33794,7.64045e-06
0,2,18,0,0.392699,3.53429,7.64005e-06
0,2,19,0,0.392699,3.73064,7.63876e-06
0,2,20,0,0.392699,3.92699,7.63508e-06
0,2,21,0,0.392699,4.12334,7.62548e-06
0,2,22,0,0.392699,4.31969,7.60247e-06
0,2,23,0,0.392699,4.51604,7.55173e-06
0,2,24,0,0.392699,4.71239,7.44864e-06
0,2,25,0,0.392699,4.90874,7.25536e-06
0,2,26,0,0.392699,5.10509,6.92083e-06
0,2,27,0,0.392699,5.30144,6.386e-06
0,2,28,0,0.392699,5.49779,5.596e-06
0,2,29,0,0.392699,5.69414,4.51789e-06
0,2,30,0,0.392699,5.89049,3.15897e-06
0,2,31,0,0.392699,6.08684,1.58371e-06
0,3,0,0,0.589049,0,2.74837e-06
0,3,1,0,0.589049,0.19635,5.48218e-06
0,3,2,0,0.589049,0.392699,7.84077e-06
0,3,3,0,0.589049,0.589049,9.71223e-06
0,3,4,0,0.589049,0.785398,1.10838e-05
0,3,5,0,0.589049,0.981748,1.20126e-05
0,3,6,0,0.589049,1.1781,1.25937e-05
0,3,7,0,0.589049,1.37445,1.29295e-05
0,3,8,0,0.589049,1.5708,1.31088e-05
0,3,9,0,0.589049,1.76715,1.3197e-05
0,3,10,0,0.589049,1.9635,1.3237e-05
0,3,11,0,0.589049,2.15984,1.32537e-05
0,3,12,0,0.589049,2.35619,1.32601e-05
0,3,13,0,0.589049,2.55254,1.32624e-05
0,3,14,0,0.589049,2.74889,1.32631e-05
0,3,15,0,0.589049,2.94524,1.32633e-05
0,3,16,0,0.589049,3.14159,1.32633e-05
0,3,17,0,0.589049,3.33794,1.32631e-05
0,3,18,0,0.589049,3.53429,1.32624e-05
0,3,19,0,0.589049,3.73064,1.32601e-05
0,3,20,0,0.589049,3.92699,1.32537e-05
0,3,21,0,0.589049,4.12334,1.3237e-05
0,3,22,0,0.589049,4.31969,1.3197e-05
0,3,23,0,0.589049,4.51604,1.31088e-05
0,3,24,0,0.589049,4.71239,1.29295e-05
0,3,25,0,0.589049,4.90874,1.25937e-05
0,3,26,0,0.589049,5.10509,1.20126e-05
0,3,27,0,0.589049,5.30144,1.10838e-05
0,3,28,0,0.589049,5.49779,9.71223e-06
0,3,29,0,0.589049,5.69414,7.84077e-06
0,3,30,0,0.589049,5.89049,5.48218e-06
0,3,31,0,0.589049,6.08684,2.74837e-06
0,4,0,0,0.785398,0,4.53266e-06
0,4,1,0,0.785398,0.19635,9.04151e-06
0,4,2,0,0.785398,0.392699,1.29318e-05
0,4,3,0,0.785398,0.589049,1.60191e-05
0,4,4,0,0.785398,0.785398,1.82822e-05
0,4,5,0,0.785398,0.981748,1.9815e-05
0,4,6,0,0.785398,1.1781,2.07743e-05
0,4,7,0,0.785398,1.37445,2.13289e-05
0,4,8,0,0.785398,1.5708,2.16249e-05
0,4,9,0,0.785398,1.76715,2.17707e-05
0,4,10,0,0.785398,1.9635,2.18369e-05
0,4,11,0,0.785398,2.15984,2.18645e-05
0,4,12,0,0.785398,2.35619,2.18751e-05
0,4,13,0,0.785398,2.55254,2.18788e-05
0,4,14,0,0.785398,2.74889,2.188e-05
0,4,15,0,0.785398,2.94524,2.18803e-05
0,4,16,0,0.785398,3.14159,2.18803e-05
0,4,17,0,0.785398,3.33794,2.188e-05
0,4,18,0,0.785398,3.53429,2.18788e-05
0,4,19,0,0.785398,3.73064,2.18751e-05
0,4,20,0,0.785398,3.92699,2.18645e-05
0,4,21,0,0.785398,4.12334,2.18369e-05
0,4,22,0,0.785398,4.31969,2.17707e-05
0,4,23,0,0.785398,4.51604,2.16249e-05
0,4,24,0,0.785398,4.71239,2.13289e-05
0,4,25,0,0.785398,4.90874,2.07743e-05
0,4,26,0,0.785398,5.10509,1.9815e-05
0,4,27,0,0.785398,5.30144,1.82822e-05
0,4,28,0,0.785398,5.49779,1.60191e-05
0,4,29,0,0.785398,5.69414,1.29318e-05
0,4,30,0,0.785398,5.89049,9.04151e-06
0,4,31,0,0.785398,6.08684,4.53266e-06
0,5,0,0,0.981748,0,7.16287e-06
0,5,1,0,0.981748,0.19635,1.42884e-05
0,5,2,0,0.981748,0.392699,2.0437e-05
0,5,3,0,0.981748,0.589049,2.5317e-05
0,5,4,0,0.981748,0.785398,2.88948e-05
0,5,5,0,0.981748,0.981748,3.13187e-05
0,5,6,0,0.981748,1.1781,3.28359e-05
0,5,7,0,0.981748,1.37445,3.37133e-05
0,5,8,0,0.981748,1.5708,3.41819e-05
0,5,9,0,0.981748,1.76715,3.44127e-05
0,5,10,0,0.981748,1.9635,3.45176e-05
0,5,11,0,0.981748,2.15984,3.45614e-05
0,5,12,0,0.981748,2.35619,3.45782e-05
0,5,13,0,0.981748,2.55254,3.45841e-05
0,5,14,0,0.981748,2.74889,3.45859e-05
0,5,15,0,0.981748,2.94524,3.45864e-05
0,5,16,0,0.981748,3.14159,3.45864e-05
0,5,17,0,0.981748,3.33794,3.45859e-05
0,5,18,0,0.981748,3.53429,3.45841e-05
0,5,19,0,0.981748,3.73064,3.45782e-05
