i,j,k,x,y,z,f
0,0,0,0,0,0,1.67117e-05
0,0,1,0,0,0.19635,3.4113e-05
0,0,2,0,0,0.392699,5.05943e-05
0,0,3,0,0,0.589049,6.56632e-05
0,0,4,0,0,0.785398,7.90188e-05
0,0,5,0,0,0.981748,9.04969e-05
0,0,6,0,0,1.1781,0.000100062
0,0,7,0,0,1.37445,0.000107792
0,0,8,0,0,1.5708,0.000113848
0,0,9,0,0,1.76715,0.000118448
0,0,10,0,0,1.9635,0.000121832
0,0,11,0,0,2.15984,0.000124239
0,0,12,0,0,2.35619,0.000125889
0,0,13,0,0,2.55254,0.000126962
0,0,14,0,0,2.74889,0.000127599
0,0,15,0,0,2.94524,0.000127894
0,0,16,0,0,3.14159,0.000127894
0,0,17,0,0,3.33794,0.000127599
0,0,18,0,0,3.53429,0.000126962
0,0,19,0,0,3.73064,0.000125889
0,0,20,0,0,3.92699,0.000124239
0,0,21,0,0,4.12334,0.000121832
0,0,22,0,0,4.31969,0.000118448
0,0,23,0,0,4.51604,0.000113848
0,0,24,0,0,4.71239,0.000107792
0,0,25,0,0,4.90874,0.000100062
0,0,26,0,0,5.10509,9.04969e-05
0,0,27,0,0,5.30144,7.90188e-05
0,0,28,0,0,5.49779,6.56632e-05
0,0,29,0,0,5.69414,5.05943e-05
0,0,30,0,0,5.89049,3.4113e-05
0,0,31,0,0,6.08684,1.67117e-05
0,1,0,0,0.19635,0,3.58476e-05
0,1,1,0,0.19635,0.19635,7.31745e-05
0,1,2,0,0.19635,0.392699,0.000108528
0,1,3,0,0.19635,0.589049,0.000140852
0,1,4,0,0.19635,0.785398,0.000169501
0,1,5,0,0.19635,0.981748,0.000194123
0,1,6,0,0.19635,1.1781,0.000214643
0,1,7,0,0.19635,1.37445,0.000231224
0,1,8,0,0.19635,1.5708,0.000244216
0,1,9,0,0.19635,1.76715,0.000254083
0,1,10,0,0.19635,1.9635,0.000261343
0,1,11,0,0.19635,2.15984,0.000266508
0,1,12,0,0.19635,2.35619,0.000270047
0,1,13,0,0.19635,2.55254,0.000272349
0,1,14,0,0.19635,2.74889,0.000273717
0,1,15,0,0.19635,2.94524,0.00027435
0,1,16,0,0.19635,3.14159,0.00027435
0,1,17,0,0.19635,3.33794,0.000273717
0,1,18,0,0.19635,3.53429,0.000272349
0,1,19,0,0.19635,3.73064,0.000270047
0,1,20,0,0.19635,3.92699,0.000266508
0,1,21,0,0.19635,4.12334,0.000261343
0,1,22,0,0.19635,4.31969,0.000254083
0,1,23,0,0.19635,4.51604,0.000244216
0,1,24,0,0.19635,4.71239,0.000231224
0,1,25,0,0.19635,4.90874,0.000214643
0,1,26,0,0.19635,5.10509,0.000194123
0,1,27,0,0.19635,5.30144,0.000169501
0,1,28,0,0.19635,5.49779,0.000140852
0,1,29,0,0.19635,5.69414,0.000108528
0,1,30,0,0.19635,5.89049,7.31745e-05
0,1,31,0,0.19635,6.08684,3.58476e-05
0,2,0,0,0.392699,0,5.75256e-05
0,2,1,0,0.392699,0.19635,0.000117425
0,2,2,0,0.392699,0.392699,0.000174158
0,2,3,0,0.392699,0.589049,0.00022603
0,2,4,0,0.392699,0.785398,0.000272006
0,2,5,0,0.392699,0.981748,0.00031152
0,2,6,0,0.392699,1.1781,0.00034445
0,2,7,0,0.392699,1.37445,0.000371062
0,2,8,0,0.392699,1.5708,0.000391912
0,2,9,0,0.392699,1.76715,0.000407748
0,2,10,0,0.392699,1.9635,0.0004194
0,2,11,0,0.392699,2.15984,0.000427691
0,2,12,0,0.392699,2.35619,0.000433371
0,2,13,0,0.392699,2.55254,0.000437067
