i,j,k,x,y,z,f
0,0,0,0,0,0,6.95266e-09
0,0,1,0,0,0.19635,1.34055e-08
0,0,2,0,0,0.392699,1.82435e-08
0,0,3,0,0,0.589049,2.13491e-08
0,0,4,0,0,0.785398,2.30643e-08
0,0,5,0,0,0.981748,2.38793e-08
0,0,6,0,0,1.1781,2.42118e-08
0,0,7,0,0,1.37445,2.43276e-08
0,0,8,0,0,1.5708,2.43616e-08
0,0,9,0,0,1.76715,2.43699e-08
0,0,10,0,0,1.9635,2.43714e-08
0,0,11,0,0,2.15984,2.43716e-08
0,0,12,0,0,2.35619,2.43716e-08
0,0,13,0,0,2.55254,2.43716e-08
0,0,14,0,0,2.74889,2.43716e-08
0,0,15,0,0,2.94524,2.43716e-08
0,0,16,0,0,3.14159,2.43716e-08
0,0,17,0,0,3.33794,2.43716e-08
0,0,18,0,0,3.53429,2.43716e-08
0,0,19,0,0,3.73064,2.43716e-08
0,0,20,0,0,3.92699,2.43716e-08
0,0,21,0,0,4.12334,2.43714e-08
0,0,22,0,0,4.31969,2.43699e-08
0,0,23,0,0,4.51604,2.43616e-08
0,0,24,0,0,4.71239,2.43276e-08
0,0,25,0,0,4.90874,2.42118e-08
0,0,26,0,0,5.10509,2.38793e-08
0,0,27,0,0,5.30144,2.30643e-08
0,0,28,0,0,5.49779,2.13491e-08
0,0,29,0,0,5.69414,1.82435e-08
0,0,30,0,0,5.89049,1.34055e-08
0,0,31,0,0,6.08684,6.95266e-09
0,1,0,0,0.19635,0,1.8782e-08
0,1,1,0,0.19635,0.19635,3.62157e-08
0,1,2,0,0.19635,0.392699,4.92897e-08
0,1,3,0,0.19635,0.589049,5.76849e-08
0,1,4,0,0.19635,0.785398,6.23236e-08
0,1,5,0,0.19635,0.981748,6.4529e-08
0,1,6,0,0.19635,1.1781,6.54293e-08
0,1,7,0,0.19635,1.37445,6.5743e-08
0,1,8,0,0.19635,1.5708,6.58353e-08
0,1,9,0,0.19635,1.76715,6.58576e-08
0,1,10,0,0.19635,1.9635,6.58618e-08
0,1,11,0,0.19635,2.15984,6.58624e-08
0,1,12,0,0.19635,2.35619,6.58624e-08
0,1,13,0,0.19635,2.55254,6.58623e-08
0,1,14,0,0.19635,2.74889,6.58623e-08
0,1,15,0,0.19635,2.94524,6.58623e-08
0,1,16,0,0.19635,3.14159,6.58623e-08
0,1,17,0,0.19635,3.33794,6.58623e-08
0,1,18,0,0.19635,3.53429,6.58623e-08
0,1,19,0,0.19635,3.73064,6.58624e-08
0,1,20,0,0.19635,3.92699,6.58624e-08
0,1,21,0,0.19635,4.12334,6.58618e-08
0,1,22,0,0.19635,4.31969,6.58576e-08
0,1,23,0,0.19635,4.51604,6.58353e-08
0,1,24,0,0.19635,4.71239,6.5743e-08
0,1,25,0,0.19635,4.90874,6.54293e-08
0,1,26,0,0.19635,5.10509,6.4529e-08
0,1,27,0,0.19635,5.30144,6.23236e-08
0,1,28,0,0.19635,5.49779,5.76849e-08
0,1,29,0,0.19635,5.69414,4.92897e-08
0,1,30,0,0.19635,5.89049,3.62157e-08
0,1,31,0,0.19635,6.08684,1.8782e-08
0,2,0,0,0.392699,0,4.12627e-08
0,2,1,0,0.392699,0.19635,7.95686e-08
0,2,2,0,0.392699,0.392699,1.08303e-07
0,2,3,0,0.392699,0.589049,1.26762e-07
0,2,4,0,0.392699,0.785398,1.36967e-07
0,2,5,0,0.392699,0.981748,1.41822e-07
0,2,6,0,0.392699,1.1781,1.43806e-07
0,2,7,0,0.392699,1.37445,1.44498e-07
0,2,8,0,0.392699,1.5708,1.44701e-07
0,2,9,0,0.392699,1.76715,1.44751e-07
0,2,10,0,0.392699,1.9635,1.4476e-07
0,2,11,0,0.392699,2.15984,1.44761e-07
0,2,12,0,0.392699,2.35619,1.44761e-07
0,2,13,0,0.392699,2.55254,1.44761e-07
0,2,14,0,0.392699,2.74889,1.44761e-07
0,2,15,0,0.392699,2.94524,1.44761e-07
0,2,16,0,0.392699,3.14159,1.44761e-07
0,2,17,0,0.392699,3.33794,1.44761e-07
0,2,18,0,0.392699,3.53429,1.44761e-07
0,2,19,0,0.392699,3.73064,1.44761e-07
0,2,20,0,0.392699,3.92699,1.44761e-07
0,2,21,0,0.392699,4.12334,1.4476e-07
0,2,22,0,0.392699,4.31969,1.44751e-07
0,2,23,0,0.392699,4.51604,1.44701e-07
0,2,24,0,0.392699,4.71239,1.44498e-07
0,2,25,0,0.392699,4.90874,1.43806e-07
0,2,26,0,0.392699,5.10509,1.41822e-07
0,2,27,0,0.392699,5.30144,1.36967e-07
0,2,28,0,0.392699,5.49779,1.26762e-07
0,2,29,0,0.392699,5.69414,1.08303e-07
0,2,30,0,0.392699,5.89049,7.95686e-08
0,2,31,0,0.392699,6.08684,4.12627e-08
0,3,0,0,0.589049,0,8.39512e-08
0,3,1,0,0.589049,0.19635,1.61898e-07
0,3,2,0,0.589049,0.392699,2.20385e-07
0,3,3,0,0.589049,0.589049,2.57974e-07
0,3,4,0,0.589049,0.785398,2.78766e-07
0,3,5,0,0.589049,0.981748,2.88665e-07
0,3,6,0,0.589049,1.1781,2.92712e-07
0,3,7,0,0.589049,1.37445,2.94125e-07
0,3,8,0,0.589049,1.5708,2.94542e-07
0,3,9,0,0.589049,1.76715,2.94643e-07
0,3,10,0,0.589049,1.9635,2.94662e-07
0,3,11,0,0.589049,2.15984,2.94664e-07
0,3,12,0,0.589049,2.35619,2.94664e-07
0,3,13,0,0.589049,2.55254,2.94664e-07
0,3,14,0,0.589049,2.74889,2.94664e-07
0,3,15,0,0.589049,2.94524,2.94664e-07
0,3,16,0,0.589049,3.14159,2.94664e-07
0,3,17,0,0.589049,3.33794,2.94664e-07
0,3,18,0,0.589049,3.53429,2.94664e-07
0,3,19,0,0.589049,3.73064,2.94664e-07
0,3,20,0,0.589049,3.92699,2.94664e-07
0,3,21,0,0.589049,4.12334,2.94662e-07
0,3,22,0,0.589049,4.31969,2.94643e-07
0,3,23,0,0.589049,4.51604,2.94542e-07
0,3,24,0,0.589049,4.71239,2.94125e-07
0,3,25,0,0.589049,4.90874,2.92712e-07
0,3,26,0,0.589049,5.10509,2.88665e-07
0,3,27,0,0.589049,5.30144,2.78766e-07
0,3,28,0,0.589049,5.49779,2.57974e-07
0,3,29,0,0.589049,5.69414,2.20385e-07
0,3,30,0,0.589049,5.89049,1.61898e-07
0,3,31,0,0.589049,6.08684,8.39512e-08
0,4,0,0,0.785398,0,1.61392e-07
0,4,1,0,0.785398,0.19635,3.11261e-07
0,4,2,0,0.785398,0.392699,4.23746e-07
0,4,3,0,0.785398,0.589049,4.96067e-07
0,4,4,0,0.785398,0.785398,5.36093e-07
0,4,5,0,0.785398,0.981748,5.55162e-07
0,4,6,0,0.785398,1.1781,5.62964e-07
0,4,7,0,0.785398,1.37445,5.6569e-07
0,4,8,0,0.785398,1.5708,5.66495e-07
0,4,9,0,0.785398,1.76715,5.66691e-07
0,4,10,0,0.785398,1.9635,5.66728e-07
0,4,11,0,0.785398,2.15984,5.66732e-07
0,4,12,0,0.785398,2.35619,5.66733e-07
0,4,13,0,0.785398,2.55254,5.66732e-07
0,4,14,0,0.785398,2.74889,5.66732e-07
0,4,15,0,0.785398,2.94524,5.66732e-07
0,4,16,0,0.785398,3.14159,5.66732e-07
0,4,17,0,0.785398,3.33794,5.66732e-07
0,4,18,0,0.785398,3.53429,5.66732e-07
0,4,19,0,0.785398,3.73064,5.66733e-07
0,4,20,0,0.785398,3.92699,5.66732e-07
0,4,21,0,0.785398,4.12334,5.66728e-07
0,4,22,0,0.785398,4.31969,5.66691e-07
0,4,23,0,0.785398,4.51604,5.66495e-07
0,4,24,0,0.785398,4.71239,5.6569e-07
0,4,25,0,0.785398,4.90874,5.62964e-07
0,4,26,0,0.785398,5.10509,5.55162e-07
0,4,27,0,0.785398,5.30144,5.36093e-07
0,4,28,0,0.785398,5.49779,4.96067e-07
0,4,29,0,0.785398,5.69414,4.23746e-07
0,4,30,0,0.785398,5.89049,3.11261e-07
0,4,31,0,0.785398,6.08684,1.61392e-07
0,5,0,0,0.981748,0,2.94195e-07
0,5,1,0,0.981748,0.19635,5.6742e-07
0,5,2,0,0.981748,0.392699,7.72544e-07
0,5,3,0,0.981748,0.589049,9.04476e-07
0,5,4,0,0.981748,0.785398,9.77529e-07
0,5,5,0,0.981748,0.981748,1.01235e-06
0,5,6,0,0.981748,1.1781,1.02661e-06
0,5,7,0,0.981748,1.37445,1.0316e-06
0,5,8,0,0.981748,1.5708,1.03307e-06
0,5,9,0,0.981748,1.76715,1.03343e-06
0,5,10,0,0.981748,1.9635,1.0335e-06
0,5,11,0,0.981748,2.15984,1.03351e-06
0,5,12,0,0.981748,2.35619,1.03351e-06
0,5,13,0,0.981748,2.55254,1.03351e-06
0,5,14,0,0.981748,2.74889,1.03351e-06
0,5,15,0,0.981748,2.94524,1.03351e-06
0,5,16,0,0.981748,3.14159,1.03351e-06
0,5,17,0,0.981748,3.33794,1.03351e-06
0,5,18,0,0.981748,3.53429,1.03351e-06
0,5,19,0,0.981748,3.73064,1.03351e-06
0,5,20,0,0.981748,3.92699,1.03351e-06
0,5,21,0,0.981748,4.12334,1.0335e-06
0,5,22,0,0.981748,4.31969,1.03343e-06
0,5,23,0,0.981748,4.51604,1.03307e-06
0,5,24,0,0.981748,4.71239,1.0316e-06
0,5,25,0,0.981748,4.90874,1.02661e-06
0,5,26,0,0.981748,5.10509,1.01235e-06
0,5,27,0,0.981748,5.30144,9.77529e-07
0,5,28,0,0.981748,5.49779,9.04476e-07
0,5,29,0,0.981748,5.69414,7.72544e-07
0,5,30,0,0.981748,5.89049,5.6742e-07
0,5,31,0,0.981748,6.08684,2.94195e-07
0,6,0,0,1.1781,0,5.08841e-07
0,6,1,0,1.1781,0.19635,9.81469e-07
0,6,2,0,1.1781,0.392699,1.33638e-06
0,6,3,0,1.1781,0.589049,1.56473e-06
0,6,4,0,1.1781,0.785398,1.69123e-06
0,6,5,0,1.1781,0.981748,1.75156e-06
0,6,6,0,1.1781,1.1781,1.77629e-06
0,6,7,0,1.1781,1.37445,1.78494e-06
0,6,8,0,1.1781,1.5708,1.7875e-06
0,6,9,0,1.1781,1.76715,1.78812e-06
0,6,10,0,1.1781,1.9635,1.78824e-06
0,6,11,0,1.1781,2.15984,1.78825e-06
0,6,12,0,1.1781,2.35619,1.78825e-06
0,6,13,0,1.1781,2.55254,1.78825e-06
0,6,14,0,1.1781,2.74889,1.78825e-06
0,6,15,0,1.1781,2.94524,1.78825e-06
0,6,16,0,1.1781,3.14159,1.78825e-06
0,6,17,0,1.1781,3.33794,1.78825e-06
0,6,18,0,1.1781,3.53429,1.78825e-06
0,6,19,0,1.1781,3.73064,1.78825e-06
0,6,20,0,1.1781,3.92699,1.78825e-06
0,6,21,0,1.1781,4.12334,1.78824e-06
0,6,22,0,1.1781,4.31969,1.78812e-06
0,6,23,0,1.1781,4.51604,1.7875e-06
0,6,24,0,1.1781,4.71239,1.78494e-06
0,6,25,0,1.1781,4.90874,1.77629e-06
0,6,26,0,1.1781,5.10509,1.75156e-06
0,6,27,0,1.1781,5.30144,1.69123e-06
0,6,28,0,1.1781,5.49779,1.56473e-06
0,6,29,0,1.1781,5.69414,1.33638e-06
0,6,30,0,1.1781,5.89049,9.81469e-07
0,6,31,0,1.1781,6.08684,5.08841e-07
0,7,0,0,1.37445,0,8.35223e-07
0,7,1,0,1.37445,0.19635,1.61109e-06
0,7,2,0,1.37445,0.392699,2.19383e-06
0,7,3,0,1.37445,0.589049,2.56889e-06
0,7,4,0,1.37445,0.785398,2.77675e-06
0,7,5,0,1.37445,0.981748,2.87594e-06
0,7,6,0,1.37445,1.1781,2.9166e-06
0,7,7,0,1.37445,1.37445,2.93085e-06
0,7,8,0,1.37445,1.5708,2.93506e-06
0,7,9,0,1.37445,1.76715,2.93609e-06
0,7,10,0,1.37445,1.9635,2.93629e-06
0,7,11,0,1.37445,2.15984,2.93631e-06
0,7,12,0,1.37445,2.35619,2.93631e-06
0,7,13,0,1.37445,2.55254,2.93631e-06
0,7,14,0,1.37445,2.74889,2.93631e-06
0,7,15,0,1.37445,2.94524,2.93631e-06
0,7,16,0,1.37445,3.14159,2.93631e-06
0,7,17,0,1.37445,3.33794,2.93631e-06
0,7,18,0,1.37445,3.53429,2.93631e-06
0,7,19,0,1.37445,3.73064,2.93631e-06
0,7,20,0,1.37445,3.92699,2.93631e-06
0,7,21,0,1.37445,4.12334,2.93629e-06
0,7,22,0,1.37445,4.31969,2.93609e-06
0,7,23,0,1.37445,4.51604,2.93506e-06
0,7,24,0,1.37445,4.71239,2.93085e-06
0,7,25,0,1.37445,4.90874,2.9166e-06
0,7,26,0,1.37445,5.10509,2.87594e-06
0,7,27,0,1.37445,5.30144,2.77675e-06
0,7,28,0,1.37445,5.49779,2.56889e-06
0,7,29,0,1.37445,5.69414,2.19383e-06
0,7,30,0,1.37445,5.89049,1.61109e-06
0,7,31,0,1.37445,6.08684,8.35223e-07
0,8,0,0,1.5708,0,1.30116e-06
0,8,1,0,1.5708,0.19635,2.50996e-06
0,8,2,0,1.5708,0.392699,3.41805e-06
0,8,3,0,1.5708,0.589049,4.00267e-06
0,8,4,0,1.5708,0.785398,4.32679e-06
0,8,5,0,1.5708,0.981748,4.48153e-06
0,8,6,0,1.5708,1.1781,4.54501e-06
