i,j,k,x,y,z,f
0,0,0,0,0,0,4.50105e-07
0,0,1,0,0,0.19635,8.99312e-07
0,0,2,0,0,0.392699,1.28949e-06
0,0,3,0,0,0.589049,1.60227e-06
0,0,4,0,0,0.785398,1.83468e-06
0,0,5,0,0,0.981748,1.99479e-06
0,0,6,0,0,1.1781,2.09705e-06
0,0,7,0,0,1.37445,2.15761e-06
0,0,8,0,0,1.5708,2.19083e-06
0,0,9,0,0,1.76715,2.20771e-06
0,0,10,0,0,1.9635,2.21565e-06
0,0,11,0,0,2.15984,2.2191e-06
0,0,12,0,0,2.35619,2.22048e-06
0,0,13,0,0,2.55254,2.22099e-06
0,0,14,0,0,2.74889,2.22116e-06
0,0,15,0,0,2.94524,2.22121e-06
0,0,16,0,0,3.14159,2.22121e-06
0,0,17,0,0,3.33794,2.22116e-06
0,0,18,0,0,3.53429,2.22099e-06
0,0,19,0,0,3.73064,2.22048e-06
0,0,20,0,0,3.92699,2.2191e-06
0,0,21,0,0,4.12334,2.21565e-06
0,0,22,0,0,4.31969,2.20771e-06
0,0,23,0,0,4.51604,2.19083e-06
0,0,24,0,0,4.71239,2.15761e-06
0,0,25,0,0,4.90874,2.09705e-06
0,0,26,0,0,5.10509,1.99479e-06
0,0,27,0,0,5.30144,1.83468e-06
0,0,28,0,0,5.49779,1.60227e-06
0,0,29,0,0,5.69414,1.28949e-06
0,0,30,0,0,5.89049,8.99312e-07
0,0,31,0,0,6.08684,4.50105e-07
0,1,0,0,0.19635,0,1.07307e-06
0,1,1,0,0.19635,0.19635,2.14404e-06
0,1,2,0,0.19635,0.392699,3.07432e-06
0,1,3,0,0.19635,0.589049,3.82014e-06
0,1,4,0,0.19635,0.785398,4.37435e-06
0,1,5,0,0.19635,0.981748,4.75622e-06
0,1,6,0,0.19635,1.1781,5.00017e-06
0,1,7,0,0.19635,1.37445,5.14464e-06
0,1,8,0,0.19635,1.5708,5.22393e-06
0,1,9,0,0.19635,1.76715,5.26423e-06
0,1,10,0,0.19635,1.9635,5.28318e-06
0,1,11,0,0.19635,2.15984,5.29142e-06
0,1,12,0,0.19635,2.35619,5.29472e-06
0,1,13,0,0.19635,2.55254,5.29594e-06
0,1,14,0,0.19635,2.74889,5.29635e-06
0,1,15,0,0.19635,2.94524,5.29646e-06
0,1,16,0,0.19635,3.14159,5.29646e-06
0,1,17,0,0.19635,3.33794,5.29635e-06
0,1,18,0,0.19635,3.53429,5.29594e-06
0,1,19,0,0.19635,3.73064,5.29472e-06
0,1,20,0,0.19635,3.92699,5.29142e-06
0,1,21,0,0.19635,4.12334,5.28318e-06
0,1,22,0,0.19635,4.31969,5.26423e-06
0,1,23,0,0.19635,4.51604,5.22393e-06
0,1,24,0,0.19635,4.71239,5.14464e-06
0,1,25,0,0.19635,4.90874,5.00017e-06
0,1,26,0,0.19635,5.10509,4.75622e-06
0,1,27,0,0.19635,5.30144,4.37435e-06
0,1,28,0,0.19635,5.49779,3.82014e-06
0,1,29,0,0.19635,5.69414,3.07432e-06
0,1,30,0,0.19635,5.89049,2.14404e-06
0,1,31,0,0.19635,6.08684,1.07307e-06
0,2,0,0,0.392699,0,2.0047e-06
0,2,1,0,0.392699,0.19635,4.00554e-06
0,2,2,0,0.392699,0.392699,5.74368e-06
0,2,3,0,0.392699,0.589049,7.13732e-06
0,2,4,0,0.392699,0.785398,8.17309e-06
0,2,5,0,0.392699,0.981748,8.88689e-06
0,2,6,0,0.392699,1.1781,9.343e-06
0,2,7,0,0.392699,1.37445,9.61319e-06
0,2,8,0,0.392699,1.5708,9.76151e-06
0,2,9,0,0.392699,1.76715,9.83693e-06
0,2,10,0,0.392699,1.9635,9.87241e-06
0,2,11,0,0.392699,2.15984,9.88784e-06
0,2,12,0,0.392699,2.35619,9.89402e-06
0,2,13,0,0.392699,2.55254,9.8963e-06
0,2,14,0,0.392699,2.74889,9.89707e-06
0,2,15,0,0.392699,2.94524,9.89729e-06
0,2,16,0,0.392699,3.14159,9.89729e-06
0,2,17,0,0.392699,3.33794,9.89707e-06
0,2,18,0,0.392699,3.53429,9.8963e-06
0,2,19,0,0.392699,3.73064,9.89402e-06
0,2,20,0,0.392699,3.92699,9.88784e-06
0,2,21,0,0.392699,4.12334,9.87241e-06
0,2,22,0,0.392699,4.31969,9.83693e-06
0,2,23,0,0.392699,4.51604,9.76151e-06
0,2,24,0,0.392699,4.71239,9.61319e-06
0,2,25,0,0.392699,4.90874,9.343e-06
0,2,26,0,0.392699,5.10509,8.88689e-06
0,2,27,0,0.392699,5.30144,8.17309e-06
0,2,28,0,0.392699,5.49779,7.13732e-06
0,2,29,0,0.392699,5.69414,5.74368e-06
0,2,30,0,0.392699,5.89049,4.00554e-06
0,2,31,0,0.392699,6.08684,2.0047e-06
0,3,0,0,0.589049,0,3.43984e-06
0,3,1,0,0.589049,0.19635,6.87318e-06
0,3,2,0,0.589049,0.392699,9.85599e-06
0,3,3,0,0.589049,0.589049,1.22479e-05
0,3,4,0,0.589049,0.785398,1.40259e-05
0,3,5,0,0.589049,0.981748,1.52515e-05
0,3,6,0,0.589049,1.1781,1.60348e-05
0,3,7,0,0.589049,1.37445,1.64989e-05
0,3,8,0,0.589049,1.5708,1.67538e-05
0,3,9,0,0.589049,1.76715,1.68835e-05
0,3,10,0,0.589049,1.9635,1.69445e-05
0,3,11,0,0.589049,2.15984,1.6971e-05
0,3,12,0,0.589049,2.35619,1.69817e-05
0,3,13,0,0.589049,2.55254,1.69856e-05
0,3,14,0,0.589049,2.74889,1.69869e-05
0,3,15,0,0.589049,2.94524,1.69873e-05
0,3,16,0,0.589049,3.14159,1.69873e-05
0,3,17,0,0.589049,3.33794,1.69869e-05
0,3,18,0,0.589049,3.53429,1.69856e-05
0,3,19,0,0.589049,3.73064,1.69817e-05
0,3,20,0,0.589049,3.92699,1.6971e-05
0,3,21,0,0.589049,4.12334,1.69445e-05
0,3,22,0,0.589049,4.31969,1.68835e-05
0,3,23,0,0.589049,4.51604,1.67538e-05
0,3,24,0,0.589049,4.71239,1.64989e-05
0,3,25,0,0.589049,4.90874,1.60348e-05
0,3,26,0,0.589049,5.10509,1.52515e-05
0,3,27,0,0.589049,5.30144,1.40259e-05
0,3,28,0,0.589049,5.49779,1.22479e-05
0,3,29,0,0.589049,5.69414,9.85599e-06
0,3,30,0,0.589049,5.89049,6.87318e-06
0,3,31,0,0.589049,6.08684,3.43984e-06
0,4,0,0,0.785398,0,5.61004e-06
0,4,1,0,0.785398,0.19635,1.12097e-05
0,4,2,0,0.785398,0.392699,1.6075e-05
0,4,3,0,0.785398,0.589049,1.99769e-05
0,4,4,0,0.785398,0.785398,2.28779e-05
0,4,5,0,0.785398,0.981748,2.48779e-05
0,4,6,0,0.785398,1.1781,2.61565e-05
0,4,7,0,0.785398,1.37445,2.69143e-05
0,4,8,0,0.785398,1.5708,2.73306e-05
0,4,9,0,0.785398,1.76715,2.75425e-05
0,4,10,0,0.785398,1.9635,2.76422e-05
0,4,11,0,0.785398,2.15984,2.76856e-05
0,4,12,0,0.785398,2.35619,2.7703e-05
0,4,13,0,0.785398,2.55254,2.77095e-05
0,4,14,0,0.785398,2.74889,2.77116e-05
0,4,15,0,0.785398,2.94524,2.77123e-05
0,4,16,0,0.785398,3.14159,2.77123e-05
0,4,17,0,0.785398,3.33794,2.77116e-05
0,4,18,0,0.785398,3.53429,2.77095e-05
0,4,19,0,0.785398,3.73064,2.7703e-05
0,4,20,0,0.785398,3.92699,2.76856e-05
0,4,21,0,0.785398,4.12334,2.76422e-05
0,4,22,0,0.785398,4.31969,2.75425e-05
0,4,23,0,0.785398,4.51604,2.73306e-05
0,4,24,0,0.785398,4.71239,2.69143e-05
0,4,25,0,0.785398,4.90874,2.61565e-05
0,4,26,0,0.785398,5.10509,2.48779e-05
0,4,27,0,0.785398,5.30144,2.28779e-05
0,4,28,0,0.785398,5.49779,1.99769e-05
0,4,29,0,0.785398,5.69414,1.6075e-05
0,4,30,0,0.785398,5.89049,1.12097e-05
0,4,31,0,0.785398,6.08684,5.61004e-06
0,5,0,0,0.981748,0,8.77257e-06
0,5,1,0,0.981748,0.19635,1.75293e-05
0,5,2,0,0.981748,0.392699,2.51381e-05
0,5,3,0,0.981748,0.589049,3.12411e-05
0,5,4,0,0.981748,0.785398,3.57792e-05
0,5,5,0,0.981748,0.981748,3.89085e-05
0,5,6,0,0.981748,1.1781,4.09095e-05
0,5,7,0,0.981748,1.37445,4.20959e-05
0,5,8,0,0.981748,1.5708,4.27478e-05
0,5,9,0,0.981748,1.76715,4.30796e-05
0,5,10,0,0.981748,1.9635,4.32359e-05
0,5,11,0,0.981748,2.15984,4.33039e-05
0,5,12,0,0.981748,2.35619,4.33313e-05
