i,j,k,x,y,z,f
0,0,0,0,0,0,3.04776e-09
0,0,1,0,0,0.19635,5.81997e-09
0,0,2,0,0,0.392699,7.81597e-09
0,0,3,0,0,0.589049,9.02185e-09
0,0,4,0,0,0.785398,9.63629e-09
0,0,5,0,0,0.981748,9.9002e-09
0,0,6,0,0,1.1781,9.9953e-09
0,0,7,0,0,1.37445,1.00237e-08
0,0,8,0,0,1.5708,1.00306e-08
0,0,9,0,0,1.76715,1.00319e-08
0,0,10,0,0,1.9635,1.0032e-08
0,0,11,0,0,2.15984,1.0032e-08
0,0,12,0,0,2.35619,1.0032e-08
0,0,13,0,0,2.55254,1.0032e-08
0,0,14,0,0,2.74889,1.0032e-08
0,0,15,0,0,2.94524,1.0032e-08
0,0,16,0,0,3.14159,1.0032e-08
0,0,17,0,0,3.33794,1.0032e-08
0,0,18,0,0,3.53429,1.0032e-08
0,0,19,0,0,3.73064,1.0032e-08
0,0,20,0,0,3.92699,1.0032e-08
0,0,21,0,0,4.12334,1.0032e-08
0,0,22,0,0,4.31969,1.00319e-08
0,0,23,0,0,4.51604,1.00306e-08
0,0,24,0,0,4.71239,1.00237e-08
0,0,25,0,0,4.90874,9.9953e-09
0,0,26,0,0,5.10509,9.9002e-09
0,0,27,0,0,5.30144,9.63629e-09
0,0,28,0,0,5.49779,9.02185e-09
0,0,29,0,0,5.69414,7.81597e-09
0,0,30,0,0,5.89049,5.81997e-09
0,0,31,0,0,6.08684,3.04776e-09
0,1,0,0,0.19635,0,8.43328e-09
0,1,1,0,0.19635,0.19635,1.61052e-08
0,1,2,0,0.19635,0.392699,2.16305e-08
0,1,3,0,0.19635,0.589049,2.497e-08
0,1,4,0,0.19635,0.785398,2.66725e-08
0,1,5,0,0.19635,0.981748,2.74042e-08
0,1,6,0,0.19635,1.1781,2.76681e-08
0,1,7,0,0.19635,1.37445,2.77471e-08
0,1,8,0,0.19635,1.5708,2.77662e-08
0,1,9,0,0.19635,1.76715,2.77697e-08
0,1,10,0,0.19635,1.9635,2.77701e-08
0,1,11,0,0.19635,2.15984,2.77701e-08
0,1,12,0,0.19635,2.35619,2.77701e-08
0,1,13,0,0.19635,2.55254,2.77701e-08
0,1,14,0,0.19635,2.74889,2.77701e-08
0,1,15,0,0.19635,2.94524,2.77701e-08
0,1,16,0,0.19635,3.14159,2.77701e-08
0,1,17,0,0.19635,3.33794,2.77701e-08
0,1,18,0,0.19635,3.53429,2.77701e-08
0,1,19,0,0.19635,3.73064,2.77701e-08
0,1,20,0,0.19635,3.92699,2.77701e-08
0,1,21,0,0.19635,4.12334,2.77701e-08
0,1,22,0,0.19635,4.31969,2.77697e-08
0,1,23,0,0.19635,4.51604,2.77662e-08
0,1,24,0,0.19635,4.71239,2.77471e-08
0,1,25,0,0.19635,4.90874,2.76681e-08
0,1,26,0,0.19635,5.10509,2.74042e-08
0,1,27,0,0.19635,5.30144,2.66725e-08
0,1,28,0,0.19635,5.49779,2.497e-08
0,1,29,0,0.19635,5.69414,2.16305e-08
0,1,30,0,0.19635,5.89049,1.61052e-08
0,1,31,0,0.19635,6.08684,8.43328e-09
0,2,0,0,0.392699,0,1.90829e-08
0,2,1,0,0.392699,0.19635,3.64459e-08
0,2,2,0,0.392699,0.392699,4.89552e-08
0,2,3,0,0.392699,0.589049,5.65195e-08
0,2,4,0,0.392699,0.785398,6.03785e-08
0,2,5,0,0.392699,0.981748,6.20383e-08
0,2,6,0,0.392699,1.1781,6.26375e-08
0,2,7,0,0.392699,1.37445,6.2817e-08
0,2,8,0,0.392699,1.5708,6.28605e-08
0,2,9,0,0.392699,1.76715,6.28686e-08
0,2,10,0,0.392699,1.9635,6.28695e-08
0,2,11,0,0.392699,2.15984,6.28695e-08
0,2,12,0,0.392699,2.35619,6.28695e-08
0,2,13,0,0.392699,2.55254,6.28695e-08
0,2,14,0,0.392699,2.74889,6.28695e-08
0,2,15,0,0.392699,2.94524,6.28695e-08
0,2,16,0,0.392699,3.14159,6.28695e-08
0,2,17,0,0.392699,3.33794,6.28695e-08
0,2,18,0,0.392699,3.53429,6.28695e-08
0,2,19,0,0.392699,3.73064,6.28695e-08
0,2,20,0,0.392699,3.92699,6.28695e-08
0,2,21,0,0.392699,4.12334,6.28695e-08
0,2,22,0,0.392699,4.31969,6.28686e-08
0,2,23,0,0.392699,4.51604,6.28605e-08
0,2,24,0,0.392699,4.71239,6.2817e-08
0,2,25,0,0.392699,4.90874,6.26375e-08
0,2,26,0,0.392699,5.10509,6.20383e-08
0,2,27,0,0.392699,5.30144,6.03785e-08
0,2,28,0,0.392699,5.49779,5.65195e-08
0,2,29,0,0.392699,5.69414,4.89552e-08
0,2,30,0,0.392699,5.89049,3.64459e-08
0,2,31,0,0.392699,6.08684,1.90829e-08
0,3,0,0,0.589049,0,4.00033e-08
0,3,1,0,0.589049,0.19635,7.64076e-08
0,3,2,0,0.589049,0.392699,1.02644e-07
0,3,3,0,0.589049,0.589049,1.18518e-07
0,3,4,0,0.589049,0.785398,1.26621e-07
0,3,5,0,0.589049,0.981748,1.30109e-07
0,3,6,0,0.589049,1.1781,1.3137e-07
0,3,7,0,0.589049,1.37445,1.31748e-07
0,3,8,0,0.589049,1.5708,1.3184e-07
0,3,9,0,0.589049,1.76715,1.31857e-07
0,3,10,0,0.589049,1.9635,1.31859e-07
0,3,11,0,0.589049,2.15984,1.31859e-07
0,3,12,0,0.589049,2.35619,1.31859e-07
0,3,13,0,0.589049,2.55254,1.31859e-07
0,3,14,0,0.589049,2.74889,1.31859e-07
0,3,15,0,0.589049,2.94524,1.31859e-07
0,3,16,0,0.589049,3.14159,1.31859e-07
0,3,17,0,0.589049,3.33794,1.31859e-07
0,3,18,0,0.589049,3.53429,1.31859e-07
0,3,19,0,0.589049,3.73064,1.31859e-07
0,3,20,0,0.589049,3.92699,1.31859e-07
0,3,21,0,0.589049,4.12334,1.31859e-07
0,3,22,0,0.589049,4.31969,1.31857e-07
0,3,23,0,0.589049,4.51604,1.3184e-07
0,3,24,0,0.589049,4.71239,1.31748e-07
0,3,25,0,0.589049,4.90874,1.3137e-07
0,3,26,0,0.589049,5.10509,1.30109e-07
0,3,27,0,0.589049,5.30144,1.26621e-07
