i,j,k,x,y,z,f
0,0,0,0,0,0,8.63329e-06
0,0,1,0,0,0.19635,1.75564e-05
0,0,2,0,0,0.392699,2.58805e-05
0,0,3,0,0,0.589049,3.33179e-05
0,0,4,0,0,0.785398,3.9709e-05
0,0,5,0,0,0.981748,4.49926e-05
0,0,6,0,0,1.1781,4.91951e-05
0,0,7,0,0,1.37445,5.24109e-05
0,0,8,0,0,1.5708,5.47783e-05
0,0,9,0,0,1.76715,5.64547e-05
0,0,10,0,0,1.9635,5.75964e-05
0,0,11,0,0,2.15984,5.83438e-05
0,0,12,0,0,2.35619,5.88128e-05
0,0,13,0,0,2.55254,5.90926e-05
0,0,14,0,0,2.74889,5.92464e-05
0,0,15,0,0,2.94524,5.93137e-05
0,0,16,0,0,3.14159,5.93137e-05
0,0,17,0,0,3.33794,5.92464e-05
0,0,18,0,0,3.53429,5.90926e-05
0,0,19,0,0,3.73064,5.88128e-05
0,0,20,0,0,3.92699,5.83438e-05
0,0,21,0,0,4.12334,5.75964e-05
0,0,22,0,0,4.31969,5.64547e-05
0,0,23,0,0,4.51604,5.47783e-05
0,0,24,0,0,4.71239,5.24109e-05
0,0,25,0,0,4.90874,4.91951e-05
0,0,26,0,0,5.10509,4.49926e-05
0,0,27,0,0,5.30144,3.9709e-05
0,0,28,0,0,5.49779,3.33179e-05
0,0,29,0,0,5.69414,2.58805e-05
0,0,30,0,0,5.89049,1.75564e-05
0,0,31,0,0,6.08684,8.63329e-06
0,1,0,0,0.19635,0,1.88711e-05
0,1,1,0,0.19635,0.19635,3.83756e-05
0,1,2,0,0.19635,0.392699,5.65712e-05
0,1,3,0,0.19635,0.589049,7.28286e-05
0,1,4,0,0.19635,0.785398,8.67991e-05
0,1,5,0,0.19635,0.981748,9.83492e-05
0,1,6,0,0.19635,1.1781,0.000107536
0,1,7,0,0.19635,1.37445,0.000114566
0,1,8,0,0.19635,1.5708,0.000119742
0,1,9,0,0.19635,1.76715,0.000123407
0,1,10,0,0.19635,1.9635,0.000125903
0,1,11,0,0.19635,2.15984,0.000127537
0,1,12,0,0.19635,2.35619,0.000128563
0,1,13,0,0.19635,2.55254,0.000129175
0,1,14,0,0.19635,2.74889,0.000129511
0,1,15,0,0.19635,2.94524,0.000129658
0,1,16,0,0.19635,3.14159,0.000129658
0,1,17,0,0.19635,3.33794,0.000129511
0,1,18,0,0.19635,3.53429,0.000129175
0,1,19,0,0.19635,3.73064,0.000128563
0,1,20,0,0.19635,3.92699,0.000127537
0,1,21,0,0.19635,4.12334,0.000125903
0,1,22,0,0.19635,4.31969,0.000123407
0,1,23,0,0.19635,4.51604,0.000119742
0,1,24,0,0.19635,4.71239,0.000114566
0,1,25,0,0.19635,4.90874,0.000107536
0,1,26,0,0.19635,5.10509,9.83492e-05
0,1,27,0,0.19635,5.30144,8.67991e-05
0,1,28,0,0.19635,5.49779,7.28286e-05
0,1,29,0,0.19635,5.69414,5.65712e-05
0,1,30,0,0.19635,5.89049,3.83756e-05
0,1,31,0,0.19635,6.08684,1.88711e-05
0,2,0,0,0.392699,0,3.1157e-05
0,2,1,0,0.392699,0.19635,6.33601e-05
0,2,2,0,0.392699,0.392699,9.34024e-05
0,2,3,0,0.392699,0.589049,0.000120245
0,2,4,0,0.392699,0.785398,0.000143313
0,2,5,0,0.392699,0.981748,0.000162384
0,2,6,0,0.392699,1.1781,0.000177555
0,2,7,0,0.392699,1.37445,0.000189164
0,2,8,0,0.392699,1.5708,0.000197711
0,2,9,0,0.392699,1.76715,0.000203764
0,2,10,0,0.392699,1.9635,0.000207887
0,2,11,0,0.392699,2.15984,0.000210586
0,2,12,0,0.392699,2.35619,0.00021228
0,2,13,0,0.392699,2.55254,0.000213291
0,2,14,0,0.392699,2.74889,0.000213847
0,2,15,0,0.392699,2.94524,0.00021409
0,2,16,0,0.392699,3.14159,0.00021409
0,2,17,0,0.392699,3.33794,0.000213847
0,2,18,0,0.392699,3.53429,0.000213291
0,2,19,0,0.392699,3.73064,0.00021228
0,2,20,0,0.392699,3.92699,0.000210586
0,2,21,0,0.392699,4.12334,0.000207887
0,2,22,0,0.392699,4.31969,0.000203764
0,2,23,0,0.392699,4.51604,0.000197711
0,2,24,0,0.392699,4.71239,0.000189164
0,2,25,0,0.392699,4.90874,0.000177555
0,2,26,0,0.392699,5.10509,0.000162384
0,2,27,0,0.392699,5.30144,0.000143313
0,2,28,0,0.392699,5.49779,0.000120245
0,2,29,0,0.392699,5.69414,9.34024e-05
0,2,30,0,0.392699,5.89049,6.33601e-05
0,2,31,0,0.392699,6.08684,3.1157e-05
0,3,0,0,0.589049,0,4.64127e-05
0,3,1,0,0.589049,0.19635,9.43841e-05
0,3,2,0,0.589049,0.392699,0.000139137
0,3,3,0,0.589049,0.589049,0.000179125
0,3,4,0,0.589049,0.785398,0.000213491
