i,j,k,x,y,z,f
0,0,0,0,0,0,2.13208e-05
0,0,1,0,0,0.19635,4.35858e-05
0,0,2,0,0,0.392699,6.47986e-05
0,0,3,0,0,0.589049,8.43689e-05
0,0,4,0,0,0.785398,0.000101925
0,0,5,0,0,0.981748,0.000117243
0,0,6,0,0,1.1781,0.000130243
0,0,7,0,0,1.37445,0.000140973
0,0,8,0,0,1.5708,0.000149586
0,0,9,0,0,1.76715,0.000156306
0,0,10,0,0,1.9635,0.000161398
0,0,11,0,0,2.15984,0.000165137
0,0,12,0,0,2.35619,0.000167782
0,0,13,0,0,2.55254,0.000169557
0,0,14,0,0,2.74889,0.000170638
0,0,15,0,0,2.94524,0.000171148
0,0,16,0,0,3.14159,0.000171148
0,0,17,0,0,3.33794,0.000170638
0,0,18,0,0,3.53429,0.000169557
0,0,19,0,0,3.73064,0.000167782
0,0,20,0,0,3.92699,0.000165137
0,0,21,0,0,4.12334,0.000161398
0,0,22,0,0,4.31969,0.000156306
0,0,23,0,0,4.51604,0.000149586
0,0,24,0,0,4.71239,0.000140973
0,0,25,0,0,4.90874,0.000130243
0,0,26,0,0,5.10509,0.000117243
0,0,27,0,0,5.30144,0.000101925
0,0,28,0,0,5.49779,8.43689e-05
0,0,29,0,0,5.69414,6.47986e-05
0,0,30,0,0,5.89049,4.35858e-05
0,0,31,0,0,6.08684,2.13208e-05
0,1,0,0,0.19635,0,4.54147e-05
0,1,1,0,0.19635,0.19635,9.28404e-05
0,1,2,0,0.19635,0.392699,0.000138025
0,1,3,0,0.19635,0.589049,0.000179712
0,1,4,0,0.19635,0.785398,0.000217107
0,1,5,0,0.19635,0.981748,0.000249737
0,1,6,0,0.19635,1.1781,0.000277428
0,1,7,0,0.19635,1.37445,0.000300286
0,1,8,0,0.19635,1.5708,0.000318632
0,1,9,0,0.19635,1.76715,0.000332948
0,1,10,0,0.19635,1.9635,0.000343795
0,1,11,0,0.19635,2.15984,0.00035176
0,1,12,0,0.19635,2.35619,0.000357394
0,1,13,0,0.19635,2.55254,0.000361175
0,1,14,0,0.19635,2.74889,0.000363479
0,1,15,0,0.19635,2.94524,0.000364566
0,1,16,0,0.19635,3.14159,0.000364566
0,1,17,0,0.19635,3.33794,0.000363479
0,1,18,0,0.19635,3.53429,0.000361175
0,1,19,0,0.19635,3.73064,0.000357394
0,1,20,0,0.19635,3.92699,0.00035176
0,1,21,0,0.19635,4.12334,0.000343795
0,1,22,0,0.19635,4.31969,0.000332948
0,1,23,0,0.19635,4.51604,0.000318632
0,1,24,0,0.19635,4.71239,0.000300286
0,1,25,0,0.19635,4.90874,0.000277428
0,1,26,0,0.19635,5.10509,0.000249737
0,1,27,0,0.19635,5.30144,0.000217107
0,1,28,0,0.19635,5.49779,0.000179712
0,1,29,0,0.19635,5.69414,0.000138025
0,1,30,0,0.19635,5.89049,9.28404e-05
0,1,31,0,0.19635,6.08684,4.54147e-05
0,2,0,0,0.392699,0,7.20964e-05
0,2,1,0,0.392699,0.19635,0.000147386
0,2,2,0,0.392699,0.392699,0.000219118
0,2,3,0,0.392699,0.589049,0.000285296
0,2,4,0,0.392699,0.785398,0.000344664
0,2,5,0,0.392699,0.981748,0.000396465
0,2,6,0,0.392699,1.1781,0.000440429
0,2,7,0,0.392699,1.37445,0.000476717
0,2,8,0,0.392699,1.5708,0.000505846
0,2,9,0,0.392699,1.76715,0.000528574
0,2,10,0,0.392699,1.9635,0.000545797
0,2,11,0,0.392699,2.15984,0.000558443
0,2,12,0,0.392699,2.35619,0.000567388
0,2,13,0,0.392699,2.55254,0.000573391
0,2,14,0,0.392699,2.74889,0.000577051
0,2,15,0,0.392699,2.94524,0.000578776
0,2,16,0,0.392699,3.14159,0.000578776
0,2,17,0,0.392699,3.33794,0.000577051
0,2,18,0,0.392699,3.53429,0.000573391
0,2,19,0,0.392699,3.73064,0.000567388
0,2,20,0,0.392699,3.92699,0.000558443
0,2,21,0,0.392699,4.12334,0.000545797
0,2,22,0,0.392699,4.31969,0.000528574
0,2,23,0,0.392699,4.51604,0.000505846
0,2,24,0,0.392699,4.71239,0.000476717
0,2,25,0,0.392699,4.90874,0.000440429
0,2,26,0,0.392699,5.10509,0.000396465
0,2,27,0,0.392699,5.30144,0.000344664
0,2,28,0,0.392699,5.49779,0.000285296
0,2,29,0,0.392699,5.69414,0.000219118
0,2,30,0,0.392699,5.89049,0.000147386
0,2,31,0,0.392699,6.08684,7.20964e-05
0,3,0,0,0.589049,0,0.000102338
0,3,1,0,0.589049,0.19635,0.000209208
0,3,2,0,0.589049,0.392699,0.00031103
0,3,3,0,0.589049,0.589049,0.000404969
0,3,4,0,0.589049,0.785398,0.000489241
0,3,5,0,0.589049,0.981748,0.000562774
0,3,6,0,0.589049,1.1781,0.000625182
0,3,7,0,0.589049,1.37445,0.000676697
0,3,8,0,0.589049,1.5708,0.000718048
0,3,9,0,0.589049,1.76715,0.000750314
0,3,10,0,0.589049,1.9635,0.000774765
0,3,11,0,0.589049,2.15984,0.000792719
0,3,12,0,0.589049,2.35619,0.00080542
0,3,13,0,0.589049,2.55254,0.000813943
0,3,14,0,0.589049,2.74889,0.000819139
0,3,15,0,0.589049,2.94524,0.000821589
0,3,16,0,0.589049,3.14159,0.000821589
0,3,17,0,0.589049,3.33794,0.000819139
0,3,18,0,0.589049,3.53429,0.000813943
0,3,19,0,0.589049,3.73064,0.00080542
0,3,20,0,0.589049,3.92699,0.000792719
0,3,21,0,0.589049,4.12334,0.000774765
0,3,22,0,0.589049,4.31969,0.000750314
0,3,23,0,0.589049,4.51604,0.000718048
0,3,24,0,0.589049,4.71239,0.000676697
0,3,25,0,0.589049,4.90874,0.000625182
0,3,26,0,0.589049,5.10509,0.000562774
0,3,27,0,0.589049,5.30144,0.000489241
0,3,28,0,0.589049,5.49779,0.000404969
0,3,29,0,0.589049,5.69414,0.00031103
0,3,30,0,0.589049,5.89049,0.000209208
0,3,31,0,0.589049,6.08684,0.000102338
0,4,0,0,0.785398,0,0.000136942
0,4,1,0,0.785398,0.19635,0.000279949
0,4,2,0,0.785398,0.392699,0.000416202
0,4,3,0,0.785398,0.589049,0.000541908
0,4,4,0,0.785398,0.785398,0.00065468
0,4,5,0,0.785398,0.981748,0.000753082
0,4,6,0,0.785398,1.1781,0.000836598
0,4,7,0,0.785398,1.37445,0.000905538
0,4,8,0,0.785398,1.5708,0.000960878
0,4,9,0,0.785398,1.76715,0.00100406
0,4,10,0,0.785398,1.9635,0.00103679
0,4,11,0,0.785398,2.15984,0.00106082
0,4,12,0,0.785398,2.35619,0.00107782
0,4,13,0,0.785398,2.55254,0.00108922
0,4,14,0,0.785398,2.74889,0.00109618
0,4,15,0,0.785398,2.94524,0.00109946
0,4,16,0,0.785398,3.14159,0.00109946
0,4,17,0,0.785398,3.33794,0.00109618
0,4,18,0,0.785398,3.53429,0.00108922
0,4,19,0,0.785398,3.73064,0.00107782
0,4,20,0,0.785398,3.92699,0.00106082
0,4,21,0,0.785398,4.12334,0.00103679
0,4,22,0,0.785398,4.31969,0.00100406
0,4,23,0,0.785398,4.51604,0.000960878
0,4,24,0,0.785398,4.71239,0.000905538
0,4,25,0,0.785398,4.90874,0.000836598
0,4,26,0,0.785398,5.10509,0.000753082
0,4,27,0,0.785398,5.30144,0.00065468
0,4,28,0,0.785398,5.49779,0.000541908
0,4,29,0,0.785398,5.69414,0.000416202
0,4,30,0,0.785398,5.89049,0.000279949
0,4,31,0,0.785398,6.08684,0.000136942
0,5,0,0,0.981748,0,0.000176365
0,5,1,0,0.981748,0.19635,0.000360543
0,5,2,0,0.981748,0.392699,0.000536022
0,5,3,0,0.981748,0.589049,0.00069792
0,5,4,0,0.981748,0.785398,0.000843162
0,5,5,0,0.981748,0.981748,0.000969899
0,5,6,0,0.981748,1.1781,0.00107747
0,5,7,0,0.981748,1.37445,0.00116626
0,5,8,0,0.981748,1.5708,0.00123754
0,5,9,0,0.981748,1.76715,0.00129316
0,5,10,0,0.981748,1.9635,0.00133532
0,5,11,0,0.981748,2.15984,0.00136627
0,5,12,0,0.981748,2.35619,0.00138817
0,5,13,0,0.981748,2.55254,0.00140287
0,5,14,0,0.981748,2.74889,0.00141183
0,5,15,0,0.981748,2.94524,0.00141605
0,5,16,0,0.981748,3.14159,0.00141605
0,5,17,0,0.981748,3.33794,0.00141183
0,5,18,0,0.981748,3.53429,0.00140287
0,5,19,0,0.981748,3.73064,0.00138817
0,5,20,0,0.981748,3.92699,0.00136627
0,5,21,0,0.981748,4.12334,0.00133532
0,5,22,0,0.981748,4.31969,0.00129316
0,5,23,0,0.981748,4.51604,0.00123754
0,5,24,0,0.981748,4.71239,0.00116626
0,5,25,0,0.981748,4.90874,0.00107747
0,5,26,0,0.981748,5.10509,0.000969899
0,5,27,0,0.981748,5.30144,0.000843162
0,5,28,0,0.981748,5.49779,0.00069792
0,5,29,0,0.981748,5.69414,0.000536022
0,5,30,0,0.981748,5.89049,0.000360543
0,5,31,0,0.981748,6.08684,0.000176365
0,6,0,0,1.1781,0,0.000220631
0,6,1,0,1.1781,0.19635,0.000451035
0,6,2,0,1.1781,0.392699,0.00067056
0,6,3,0,1.1781,0.589049,0.000873096
0,6,4,0,1.1781,0.785398,0.0010548
0,6,5,0,1.1781,0.981748,0.00121335
0,6,6,0,1.1781,1.1781,0.00134793
0,6,7,0,1.1781,1.37445,0.00145902
0,6,8,0,1.1781,1.5708,0.0015482
0,6,9,0,1.1781,1.76715,0.0016178
0,6,10,0,1.1781,1.9635,0.00167054
0,6,11,0,1.1781,2.15984,0.00170927
0,6,12,0,1.1781,2.35619,0.00173668
0,6,13,0,1.1781,2.55254,0.00175507
0,6,14,0,1.1781,2.74889,0.00176628
0,6,15,0,1.1781,2.94524,0.00177157
0,6,16,0,1.1781,3.14159,0.00177157
0,6,17,0,1.1781,3.33794,0.00176628
0,6,18,0,1.1781,3.53429,0.00175507
0,6,19,0,1.1781,3.73064,0.00173668
0,6,20,0,1.1781,3.92699,0.00170927
0,6,21,0,1.1781,4.12334,0.00167054
0,6,22,0,1.1781,4.31969,0.0016178
0,6,23,0,1.1781,4.51604,0.0015482
0,6,24,0,1.1781,4.71239,0.00145902
0,6,25,0,1.1781,4.90874,0.00134793
0,6,26,0,1.1781,5.10509,0.00121335
0,6,27,0,1.1781,5.30144,0.0010548
0,6,28,0,1.1781,5.49779,0.000873096
0,6,29,0,1.1781,5.69414,0.00067056
0,6,30,0,1.1781,5.89049,0.000451035
0,6,31,0,1.1781,6.08684,0.000220631
0,7,0,0,1.37445,0,0.000269267
0,7,1,0,1.37445,0.19635,0.000550463
0,7,2,0,1.37445,0.392699,0.000818383
0,7,3,0,1.37445,0.589049,0.00106557
0,7,4,0,1.37445,0.785398,0.00128734
0,7,5,0,1.37445,0.981748,0.00148085
0,7,6,0,1.37445,1.1781,0.0016451
0,7,7,0,1.37445,1.37445,0.0017807
0,7,8,0,1.37445,1.5708,0.00188955
0,7,9,0,1.37445,1.76715,0.0019745
0,7,10,0,1.37445,1.9635,0.00203888
0,7,11,0,1.37445,2.15984,0.00208617
0,7,12,0,1.37445,2.35619,0.00211962
0,7,13,0,1.37445,2.55254,0.00214207
0,7,14,0,1.37445,2.74889,0.00215576
0,7,15,0,1.37445,2.94524,0.00216221
0,7,16,0,1.37445,3.14159,0.00216221
0,7,17,0,1.37445,3.33794,0.00215576
0,7,18,0,1.37445,3.53429,0.00214207
0,7,19,0,1.37445,3.73064,0.00211962
0,7,20,0,1.37445,3.92699,0.00208617
0,7,21,0,1.37445,4.12334,0.00203888
0,7,22,0,1.37445,4.31969,0.0019745
0,7,23,0,1.37445,4.51604,0.00188955
0,7,24,0,1.37445,4.71239,0.0017807
0,7,25,0,1.37445,4.90874,0.0016451
0,7,26,0,1.37445,5.10509,0.00148085
0,7,27,0,1.37445,5.30144,0.00128734
0,7,28,0,1.37445,5.49779,0.00106557
0,7,29,0,1.37445,5.69414,0.000818383
0,7,30,0,1.37445,5.89049,0.000550463
