i,j,k,x,y,z,f
0,0,0,0,0,0,2.10522e-06
0,0,1,0,0,0.19635,4.2469e-06
0,0,2,0,0,0.392699,6.18124e-06
0,0,3,0,0,0.589049,7.82663e-06
0,0,4,0,0,0.785398,9.15033e-06
0,0,5,0,0,0.981748,1.01578e-05
0,0,6,0,0,1.1781,1.08832e-05
0,0,7,0,0,1.37445,1.13774e-05
0,0,8,0,0,1.5708,1.16958e-05
0,0,9,0,0,1.76715,1.18899e-05
0,0,10,0,0,1.9635,1.20017e-05
0,0,11,0,0,2.15984,1.20627e-05
0,0,12,0,0,2.35619,1.2094e-05
0,0,13,0,0,2.55254,1.21092e-05
0,0,14,0,0,2.74889,1.2116e-05
0,0,15,0,0,2.94524,1.21186e-05
0,0,16,0,0,3.14159,1.21186e-05
0,0,17,0,0,3.33794,1.2116e-05
0,0,18,0,0,3.53429,1.21092e-05
0,0,19,0,0,3.73064,1.2094e-05
0,0,20,0,0,3.92699,1.20627e-05
0,0,21,0,0,4.12334,1.20017e-05
0,0,22,0,0,4.31969,1.18899e-05
0,0,23,0,0,4.51604,1.16958e-05
0,0,24,0,0,4.71239,1.13774e-05
0,0,25,0,0,4.90874,1.08832e-05
0,0,26,0,0,5.10509,1.01578e-05
0,0,27,0,0,5.30144,9.15033e-06
0,0,28,0,0,5.49779,7.82663e-06
0,0,29,0,0,5.69414,6.18124e-06
0,0,30,0,0,5.89049,4.2469e-06
0,0,31,0,0,6.08684,2.10522e-06
0,1,0,0,0.19635,0,4.79374e-06
0,1,1,0,0.19635,0.19635,9.67056e-06
0,1,2,0,0.19635,0.392699,1.40754e-05
0,1,3,0,0.19635,0.589049,1.78223e-05
0,1,4,0,0.19635,0.785398,2.08369e-05
0,1,5,0,0.19635,0.981748,2.31314e-05
0,1,6,0,0.19635,1.1781,2.47837e-05
0,1,7,0,0.19635,1.37445,2.59093e-05
0,1,8,0,0.19635,1.5708,2.66348e-05
0,1,9,0,0.19635,1.76715,2.70769e-05
0,1,10,0,0.19635,1.9635,2.73318e-05
0,1,11,0,0.19635,2.15984,2.74706e-05
0,1,12,0,0.19635,2.35619,2.75421e-05
0,1,13,0,0.19635,2.55254,2.75767e-05
0,1,14,0,0.19635,2.74889,2.75923e-05
0,1,15,0,0.19635,2.94524,2.75981e-05
0,1,16,0,0.19635,3.14159,2.75981e-05
0,1,17,0,0.19635,3.33794,2.75923e-05
0,1,18,0,0.19635,3.53429,2.75767e-05
0,1,19,0,0.19635,3.73064,2.75421e-05
0,1,20,0,0.19635,3.92699,2.74706e-05
0,1,21,0,0.19635,4.12334,2.73318e-05
0,1,22,0,0.19635,4.31969,2.70769e-05
0,1,23,0,0.19635,4.51604,2.66348e-05
0,1,24,0,0.19635,4.71239,2.59093e-05
0,1,25,0,0.19635,4.90874,2.47837e-05
0,1,26,0,0.19635,5.10509,2.31314e-05
0,1,27,0,0.19635,5.30144,2.08369e-05
0,1,28,0,0.19635,5.49779,1.78223e-05
0,1,29,0,0.19635,5.69414,1.40754e-05
0,1,30,0,0.19635,5.89049,9.67056e-06
0,1,31,0,0.19635,6.08684,4.79374e-06
0,2,0,0,0.392699,0,8.40075e-06
0,2,1,0,0.392699,0.19635,1.69472e-05
0,2,2,0,0.392699,0.392699,2.46668e-05
0,2,3,0,0.392699,0.589049,3.12339e-05
0,2,4,0,0.392699,0.785398,3.65176e-05
0,2,5,0,0.392699,0.981748,4.05397e-05
0,2,6,0,0.392699,1.1781,4.34364e-05
0,2,7,0,0.392699,1.37445,4.541e-05
0,2,8,0,0.392699,1.5708,4.66821e-05
0,2,9,0,0.392699,1.76715,4.74576e-05
0,2,10,0,0.392699,1.9635,4.79047e-05
0,2,11,0,0.392699,2.15984,4.81483e-05
0,2,12,0,0.392699,2.35619,4.82737e-05
0,2,13,0,0.392699,2.55254,4.83345e-05
0,2,14,0,0.392699,2.74889,4.83618e-05
0,2,15,0,0.392699,2.94524,4.8372e-05
0,2,16,0,0.392699,3.14159,4.8372e-05
0,2,17,0,0.392699,3.33794,4.83618e-05
0,2,18,0,0.392699,3.53429,4.83345e-05
0,2,19,0,0.392699,3.73064,4.82737e-05
0,2,20,0,0.392699,3.92699,4.81483e-05
0,2,21,0,0.392699,4.12334,4.79047e-05
0,2,22,0,0.392699,4.31969,4.74576e-05
0,2,23,0,0.392699,4.51604,4.66821e-05
0,2,24,0,0.392699,4.71239,4.541e-05
0,2,25,0,0.392699,4.90874,4.34364e-05
0,2,26,0,0.392699,5.10509,4.05397e-05
0,2,27,0,0.392699,5.30144,3.65176e-05
0,2,28,0,0.392699,5.49779,3.12339e-05
0,2,29,0,0.392699,5.69414,2.46668e-05
0,2,30,0,0.392699,5.89049,1.69472e-05
0,2,31,0,0.392699,6.08684,8.40075e-06
0,3,0,0,0.589049,0,1.342e-05
0,3,1,0,0.589049,0.19635,2.70731e-05
0,3,2,0,0.589049,0.392699,3.94057e-05
0,3,3,0,0.589049,0.589049,4.98977e-05
0,3,4,0,0.589049,0.785398,5.83401e-05
0,3,5,0,0.589049,0.981748,6.47673e-05
0,3,6,0,0.589049,1.1781,6.93967e-05
0,3,7,0,0.589049,1.37445,7.25514e-05
0,3,8,0,0.589049,1.5708,7.4585e-05
0,3,9,0,0.589049,1.76715,7.5825e-05
0,3,10,0,0.589049,1.9635,7.654e-05
0,3,11,0,0.589049,2.15984,7.69297e-05
0,3,12,0,0.589049,2.35619,7.71303e-05
0,3,13,0,0.589049,2.55254,7.72276e-05
0,3,14,0,0.589049,2.74889,7.72714e-05
0,3,15,0,0.589049,2.94524,7.72877e-05
0,3,16,0,0.589049,3.14159,7.72877e-05
0,3,17,0,0.589049,3.33794,7.72714e-05
0,3,18,0,0.589049,3.53429,7.72276e-05
0,3,19,0,0.589049,3.73064,7.71303e-05
0,3,20,0,0.589049,3.92699,7.69297e-05
0,3,21,0,0.589049,4.12334,7.654e-05
0,3,22,0,0.589049,4.31969,7.5825e-05
0,3,23,0,0.589049,4.51604,7.4585e-05
0,3,24,0,0.589049,4.71239,7.25514e-05
0,3,25,0,0.589049,4.90874,6.93967e-05
0,3,26,0,0.589049,5.10509,6.47673e-05
0,3,27,0,0.589049,5.30144,5.83401e-05
0,3,28,0,0.589049,5.49779,4.98977e-05
0,3,29,0,0.589049,5.69414,3.94057e-05
0,3,30,0,0.589049,5.89049,2.70731e-05
0,3,31,0,0.589049,6.08684,1.342e-05
0,4,0,0,0.785398,0,2.03686e-05
0,4,1,0,0.785398,0.19635,4.10913e-05
0,4,2,0,0.785398,0.392699,5.98106e-05
0,4,3,0,0.785398,0.589049,7.57371e-05
0,4,4,0,0.785398,0.785398,8.85535e-05
0,4,5,0,0.785398,0.981748,9.83117e-05
0,4,6,0,0.785398,1.1781,0.000105341
0,4,7,0,0.785398,1.37445,0.000110132
0,4,8,0,0.785398,1.5708,0.000113221
