i,j,k,x,y,z,f
0,0,0,0,0,0,2.23227e-05
0,0,1,0,0,0.19635,4.56471e-05
0,0,2,0,0,0.392699,6.78952e-05
0,0,3,0,0,0.589049,8.84566e-05
0,0,4,0,0,0.785398,0.000106945
0,0,5,0,0,0.981748,0.000123125
0,0,6,0,0,1.1781,0.000136905
0,0,7,0,0,1.37445,0.000148326
0,0,8,0,0,1.5708,0.000157537
0,0,9,0,0,1.76715,0.000164762
0,0,10,0,0,1.9635,0.000170267
0,0,11,0,0,2.15984,0.000174334
0,0,12,0,0,2.35619,0.000177228
0,0,13,0,0,2.55254,0.000179181
0,0,14,0,0,2.74889,0.000180378
0,0,15,0,0,2.94524,0.000180944
0,0,16,0,0,3.14159,0.000180944
0,0,17,0,0,3.33794,0.000180378
0,0,18,0,0,3.53429,0.000179181
0,0,19,0,0,3.73064,0.000177228
0,0,20,0,0,3.92699,0.000174334
0,0,21,0,0,4.12334,0.000170267
0,0,22,0,0,4.31969,0.000164762
0,0,23,0,0,4.51604,0.000157537
0,0,24,0,0,4.71239,0.000148326
0,0,25,0,0,4.90874,0.000136905
0,0,26,0,0,5.10509,0.000123125
0,0,27,0,0,5.30144,0.000106945
0,0,28,0,0,5.49779,8.84566e-05
0,0,29,0,0,5.69414,6.78952e-05
0,0,30,0,0,5.89049,4.56471e-05
0,0,31,0,0,6.08684,2.23227e-05
0,1,0,0,0.19635,0,4.74852e-05
0,1,1,0,0.19635,0.19635,9.71013e-05
0,1,2,0,0.19635,0.392699,0.000144428
0,1,3,0,0.19635,0.589049,0.000188167
0,1,4,0,0.19635,0.785398,0.000227496
0,1,5,0,0.19635,0.981748,0.000261915
0,1,6,0,0.19635,1.1781,0.000291229
0,1,7,0,0.19635,1.37445,0.000315526
0,1,8,0,0.19635,1.5708,0.00033512
0,1,9,0,0.19635,1.76715,0.000350489
0,1,10,0,0.19635,1.9635,0.000362201
0,1,11,0,0.19635,2.15984,0.000370853
0,1,12,0,0.19635,2.35619,0.00037701
0,1,13,0,0.19635,2.55254,0.000381166
0,1,14,0,0.19635,2.74889,0.000383711
0,1,15,0,0.19635,2.94524,0.000384915
0,1,16,0,0.19635,3.14159,0.000384915
0,1,17,0,0.19635,3.33794,0.000383711
0,1,18,0,0.19635,3.53429,0.000381166
0,1,19,0,0.19635,3.73064,0.00037701
0,1,20,0,0.19635,3.92699,0.000370853
0,1,21,0,0.19635,4.12334,0.000362201
0,1,22,0,0.19635,4.31969,0.000350489
0,1,23,0,0.19635,4.51604,0.00033512
0,1,24,0,0.19635,4.71239,0.000315526
0,1,25,0,0.19635,4.90874,0.000291229
0,1,26,0,0.19635,5.10509,0.000261915
0,1,27,0,0.19635,5.30144,0.000227496
0,1,28,0,0.19635,5.49779,0.000188167
0,1,29,0,0.19635,5.69414,0.000144428
0,1,30,0,0.19635,5.89049,9.71013e-05
0,1,31,0,0.19635,6.08684,4.74852e-05
0,2,0,0,0.392699,0,7.52277e-05
0,2,1,0,0.392699,0.19635,0.000153831
0,2,2,0,0.392699,0.392699,0.000228808
0,2,3,0,0.392699,0.589049,0.000298102
0,2,4,0,0.392699,0.785398,0.00036041
0,2,5,0,0.392699,0.981748,0.000414939
0,2,6,0,0.392699,1.1781,0.000461382
0,2,7,0,0.392699,1.37445,0.000499876
0,2,8,0,0.392699,1.5708,0.00053092
0,2,9,0,0.392699,1.76715,0.00055527
0,2,10,0,0.392699,1.9635,0.000573828
0,2,11,0,0.392699,2.15984,0.000587536
0,2,12,0,0.392699,2.35619,0.000597292
0,2,13,0,0.392699,2.55254,0.000603877
0,2,14,0,0.392699,2.74889,0.00060791
0,2,15,0,0.392699,2.94524,0.000609818
0,2,16,0,0.392699,3.14159,0.000609818
0,2,17,0,0.392699,3.33794,0.00060791
0,2,18,0,0.392699,3.53429,0.000603877
0,2,19,0,0.392699,3.73064,0.000597292
0,2,20,0,0.392699,3.92699,0.000587536
0,2,21,0,0.392699,4.12334,0.000573828
