i,j,k,x,y,z,f
0,0,0,0,0,0,2.21251e-06
0,0,1,0,0,0.19635,4.46464e-06
0,0,2,0,0,0.392699,6.50113e-06
0,0,3,0,0,0.589049,8.23652e-06
0,0,4,0,0,0.785398,9.63597e-06
0,0,5,0,0,0.981748,1.07043e-05
0,0,6,0,0,1.1781,1.14764e-05
0,0,7,0,0,1.37445,1.20045e-05
0,0,8,0,0,1.5708,1.23465e-05
0,0,9,0,0,1.76715,1.25561e-05
0,0,10,0,0,1.9635,1.26776e-05
0,0,11,0,0,2.15984,1.27442e-05
0,0,12,0,0,2.35619,1.27788e-05
0,0,13,0,0,2.55254,1.27956e-05
0,0,14,0,0,2.74889,1.28033e-05
0,0,15,0,0,2.94524,1.28062e-05
0,0,16,0,0,3.14159,1.28062e-05
0,0,17,0,0,3.33794,1.28033e-05
0,0,18,0,0,3.53429,1.27956e-05
0,0,19,0,0,3.73064,1.27788e-05
0,0,20,0,0,3.92699,1.27442e-05
0,0,21,0,0,4.12334,1.26776e-05
0,0,22,0,0,4.31969,1.25561e-05
0,0,23,0,0,4.51604,1.23465e-05
0,0,24,0,0,4.71239,1.20045e-05
0,0,25,0,0,4.90874,1.14764e-05
0,0,26,0,0,5.10509,1.07043e-05
0,0,27,0,0,5.30144,9.63597e-06
0,0,28,0,0,5.49779,8.23652e-06
0,0,29,0,0,5.69414,6.50113e-06
0,0,30,0,0,5.89049,4.46464e-06
0,0,31,0,0,6.08684,2.21251e-06
0,1,0,0,0.19635,0,5.0307e-06
0,1,1,0,0.19635,0.19635,1.01515e-05
0,1,2,0,0.19635,0.392699,1.47822e-05
0,1,3,0,0.19635,0.589049,1.87283e-05
0,1,4,0,0.19635,0.785398,2.19107e-05
0,1,5,0,0.19635,0.981748,2.43403e-05
0,1,6,0,0.19635,1.1781,2.60962e-05
0,1,7,0,0.19635,1.37445,2.72975e-05
0,1,8,0,0.19635,1.5708,2.80754e-05
0,1,9,0,0.19635,1.76715,2.85522e-05
0,1,10,0,0.19635,1.9635,2.88287e-05
0,1,11,0,0.19635,2.15984,2.89803e-05
0,1,12,0,0.19635,2.35619,2.9059e-05
0,1,13,0,0.19635,2.55254,2.90974e-05
0,1,14,0,0.19635,2.74889,2.91148e-05
0,1,15,0,0.19635,2.94524,2.91213e-05
0,1,16,0,0.19635,3.14159,2.91213e-05
0,1,17,0,0.19635,3.33794,2.91148e-05
0,1,18,0,0.19635,3.53429,2.90974e-05
0,1,19,0,0.19635,3.73064,2.9059e-05
0,1,20,0,0.19635,3.92699,2.89803e-05
0,1,21,0,0.19635,4.12334,2.88287e-05
0,1,22,0,0.19635,4.31969,2.85522e-05
0,1,23,0,0.19635,4.51604,2.80754e-05
0,1,24,0,0.19635,4.71239,2.72975e-05
0,1,25,0,0.19635,4.90874,2.60962e-05
0,1,26,0,0.19635,5.10509,2.43403e-05
0,1,27,0,0.19635,5.30144,2.19107e-05
0,1,28,0,0.19635,5.49779,1.87283e-05
0,1,29,0,0.19635,5.69414,1.47822e-05
0,1,30,0,0.19635,5.89049,1.01515e-05
0,1,31,0,0.19635,6.08684,5.0307e-06
0,2,0,0,0.392699,0,8.79766e-06
0,2,1,0,0.392699,0.19635,1.77531e-05
0,2,2,0,0.392699,0.392699,2.58516e-05
0,2,3,0,0.392699,0.589049,3.27533e-05
0,2,4,0,0.392699,0.785398,3.83196e-05
0,2,5,0,0.392699,0.981748,4.25695e-05
0,2,6,0,0.392699,1.1781,4.56414e-05
0,2,7,0,0.392699,1.37445,4.77433e-05
0,2,8,0,0.392699,1.5708,4.91046e-05
0,2,9,0,0.392699,1.76715,4.9939e-05
0,2,10,0,0.392699,1.9635,5.0423e-05
0,2,11,0,0.392699,2.15984,5.06885e-05
0,2,12,0,0.392699,2.35619,5.08262e-05
0,2,13,0,0.392699,2.55254,5.08935e-05
0,2,14,0,0.392699,2.74889,5.0924e-05
0,2,15,0,0.392699,2.94524,5.09354e-05
0,2,16,0,0.392699,3.14159,5.09354e-05
