i,j,k,x,y,z,f
0,0,0,0,0,0,1.80312e-06
0,0,1,0,0,0.19635,3.63415e-06
0,0,2,0,0,0.392699,5.28182e-06
0,0,3,0,0,0.589049,6.67551e-06
0,0,4,0,0,0.785398,7.7883e-06
0,0,5,0,0,0.981748,8.62729e-06
0,0,6,0,0,1.1781,9.22459e-06
0,0,7,0,0,1.37445,9.6261e-06
0,0,8,0,0,1.5708,9.88092e-06
0,0,9,0,0,1.76715,1.00336e-05
0,0,10,0,0,1.9635,1.01199e-05
0,0,11,0,0,2.15984,1.01659e-05
0,0,12,0,0,2.35619,1.0189e-05
0,0,13,0,0,2.55254,1.02e-05
0,0,14,0,0,2.74889,1.02048e-05
0,0,15,0,0,2.94524,1.02065e-05
0,0,16,0,0,3.14159,1.02065e-05
0,0,17,0,0,3.33794,1.02048e-05
0,0,18,0,0,3.53429,1.02e-05
0,0,19,0,0,3.73064,1.0189e-05
0,0,20,0,0,3.92699,1.01659e-05
0,0,21,0,0,4.12334,1.01199e-05
0,0,22,0,0,4.31969,1.00336e-05
0,0,23,0,0,4.51604,9.88092e-06
0,0,24,0,0,4.71239,9.6261e-06
0,0,25,0,0,4.90874,9.22459e-06
0,0,26,0,0,5.10509,8.62729e-06
0,0,27,0,0,5.30144,7.7883e-06
0,0,28,0,0,5.49779,6.67551e-06
0,0,29,0,0,5.69414,5.28182e-06
0,0,30,0,0,5.89049,3.63415e-06
0,0,31,0,0,6.08684,1.80312e-06
0,1,0,0,0.19635,0,4.12462e-06
0,1,1,0,0.19635,0.19635,8.31312e-06
0,1,2,0,0.19635,0.392699,1.20823e-05
0,1,3,0,0.19635,0.589049,1.52706e-05
0,1,4,0,0.19635,0.785398,1.78164e-05
0,1,5,0,0.19635,0.981748,1.9736e-05
0,1,6,0,0.19635,1.1781,2.11027e-05
0,1,7,0,0.19635,1.37445,2.20215e-05
0,1,8,0,0.19635,1.5708,2.26047e-05
0,1,9,0,0.19635,1.76715,2.29541e-05
0,1,10,0,0.19635,1.9635,2.31517e-05
0,1,11,0,0.19635,2.15984,2.32571e-05
0,1,12,0,0.19635,2.35619,2.33101e-05
0,1,13,0,0.19635,2.55254,2.33351e-05
0,1,14,0,0.19635,2.74889,2.33461e-05
0,1,15,0,0.19635,2.94524,2.33501e-05
0,1,16,0,0.19635,3.14159,2.33501e-05
0,1,17,0,0.19635,3.33794,2.33461e-05
0,1,18,0,0.19635,3.53429,2.33351e-05
0,1,19,0,0.19635,3.73064,2.33101e-05
0,1,20,0,0.19635,3.92699,2.32571e-05
0,1,21,0,0.19635,4.12334,2.31517e-05
0,1,22,0,0.19635,4.31969,2.29541e-05
0,1,23,0,0.19635,4.51604,2.26047e-05
0,1,24,0,0.19635,4.71239,2.20215e-05
0,1,25,0,0.19635,4.90874,2.11027e-05
0,1,26,0,0.19635,5.10509,1.9736e-05
0,1,27,0,0.19635,5.30144,1.78164e-05
0,1,28,0,0.19635,5.49779,1.52706e-05
0,1,29,0,0.19635,5.69414,1.20823e-05
0,1,30,0,0.19635,5.89049,8.31312e-06
0,1,31,0,0.19635,6.08684,4.12462e-06
0,2,0,0,0.392699,0,7.27517e-06
0,2,1,0,0.392699,0.19635,1.46632e-05
0,2,2,0,0.392699,0.392699,2.13118e-05
0,2,3,0,0.392699,0.589049,2.69361e-05
0,2,4,0,0.392699,0.785398,3.14274e-05
0,2,5,0,0.392699,0.981748,3.48142e-05
0,2,6,0,0.392699,1.1781,3.72259e-05
0,2,7,0,0.392699,1.37445,3.88474e-05
0,2,8,0,0.392699,1.5708,3.98768e-05
0,2,9,0,0.392699,1.76715,4.04937e-05
0,2,10,0,0.392699,1.9635,4.08425e-05
