i,j,k,x,y,z,f
0,0,0,0,0,0,5.96035e-06
0,0,1,0,0,0.19635,1.20956e-05
0,0,2,0,0,0.392699,1.77715e-05
0,0,3,0,0,0.589049,2.27787e-05
0,0,4,0,0,0.785398,2.70089e-05
0,0,5,0,0,0.981748,3.04321e-05
0,0,6,0,0,1.1781,3.30858e-05
0,0,7,0,0,1.37445,3.50563e-05
0,0,8,0,0,1.5708,3.64578e-05
0,0,9,0,0,1.76715,3.74126e-05
0,0,10,0,0,1.9635,3.80356e-05
0,0,11,0,0,2.15984,3.84246e-05
0,0,12,0,0,2.35619,3.86568e-05
0,0,13,0,0,2.55254,3.87883e-05
0,0,14,0,0,2.74889,3.88573e-05
0,0,15,0,0,2.94524,3.88864e-05
0,0,16,0,0,3.14159,3.88864e-05
0,0,17,0,0,3.33794,3.88573e-05
0,0,18,0,0,3.53429,3.87883e-05
0,0,19,0,0,3.73064,3.86568e-05
0,0,20,0,0,3.92699,3.84246e-05
0,0,21,0,0,4.12334,3.80356e-05
0,0,22,0,0,4.31969,3.74126e-05
0,0,23,0,0,4.51604,3.64578e-05
0,0,24,0,0,4.71239,3.50563e-05
0,0,25,0,0,4.90874,3.30858e-05
0,0,26,0,0,5.10509,3.04321e-05
0,0,27,0,0,5.30144,2.70089e-05
0,0,28,0,0,5.49779,2.27787e-05
0,0,29,0,0,5.69414,1.77715e-05
0,0,30,0,0,5.89049,1.20956e-05
0,0,31,0,0,6.08684,5.96035e-06
0,1,0,0,0.19635,0,1.31675e-05
0,1,1,0,0.19635,0.19635,2.67215e-05
0,1,2,0,0.19635,0.392699,3.92607e-05
0,1,3,0,0.19635,0.589049,5.03231e-05
0,1,4,0,0.19635,0.785398,5.96688e-05
0,1,5,0,0.19635,0.981748,6.7232e-05
0,1,6,0,0.19635,1.1781,7.30952e-05
0,1,7,0,0.19635,1.37445,7.74492e-05
0,1,8,0,0.19635,1.5708,8.05462e-05
0,1,9,0,0.19635,1.76715,8.26562e-05
0,1,10,0,0.19635,1.9635,8.40328e-05
0,1,11,0,0.19635,2.15984,8.48926e-05
0,1,12,0,0.19635,2.35619,8.54057e-05
0,1,13,0,0.19635,2.55254,8.56965e-05
0,1,14,0,0.19635,2.74889,8.58489e-05
0,1,15,0,0.19635,2.94524,8.59133e-05
0,1,16,0,0.19635,3.14159,8.59133e-05
0,1,17,0,0.19635,3.33794,8.58489e-05
0,1,18,0,0.19635,3.53429,8.56965e-05
0,1,19,0,0.19635,3.73064,8.54057e-05
0,1,20,0,0.19635,3.92699,8.48926e-05
0,1,21,0,0.19635,4.12334,8.40328e-05
0,1,22,0,0.19635,4.31969,8.26562e-05
0,1,23,0,0.19635,4.51604,8.05462e-05
0,1,24,0,0.19635,4.71239,7.74492e-05
0,1,25,0,0.19635,4.90874,7.30952e-05
0,1,26,0,0.19635,5.10509,6.7232e-05
0,1,27,0,0.19635,5.30144,5.96688e-05
0,1,28,0,0.19635,5.49779,5.03231e-05
0,1,29,0,0.19635,5.69414,3.92607e-05
0,1,30,0,0.19635,5.89049,2.67215e-05
0,1,31,0,0.19635,6.08684,1.31675e-05
0,2,0,0,0.392699,0,2.20852e-05
0,2,1,0,0.392699,0.19635,4.48189e-05
0,2,2,0,0.392699,0.392699,6.5851e-05
0,2,3,0,0.392699,0.589049,8.44063e-05
0,2,4,0,0.392699,0.785398,0.000100083
0,2,5,0,0.392699,0.981748,0.00011277
0,2,6,0,0.392699,1.1781,0.000122606
0,2,7,0,0.392699,1.37445,0.000129911
0,2,8,0,0.392699,1.5708,0.000135107
0,2,9,0,0.392699,1.76715,0.000138647
0,2,10,0,0.392699,1.9635,0.000140957
0,2,11,0,0.392699,2.15984,0.0001424
0,2,12,0,0.392699,2.35619,0.000143261
0,2,13,0,0.392699,2.55254,0.00014375
0,2,14,0,0.392699,2.74889,0.000144005
0,2,15,0,0.392699,2.94524,0.000144114
0,2,16,0,0.392699,3.14159,0.000144114
0,2,17,0,0.392699,3.33794,0.000144005
0,2,18,0,0.392699,3.53429,0.00014375
0,2,19,0,0.392699,3.73064,0.000143261
0,2,20,0,0.392699,3.92699,0.0001424
0,2,21,0,0.392699,4.12334,0.000140957
0,2,22,0,0.392699,4.31969,0.000138647
0,2,23,0,0.392699,4.51604,0.000135107
0,2,24,0,0.392699,4.71239,0.000129911
0,2,25,0,0.392699,4.90874,0.000122606
0,2,26,0,0.392699,5.10509,0.00011277
0,2,27,0,0.392699,5.30144,0.000100083
0,2,28,0,0.392699,5.49779,8.44063e-05
0,2,29,0,0.392699,5.69414,6.5851e-05
0,2,30,0,0.392699,5.89049,4.48189e-05
0,2,31,0,0.392699,6.08684,2.20852e-05
0,3,0,0,0.589049,0,3.35243e-05
0,3,1,0,0.589049,0.19635,6.80333e-05
0,3,2,0,0.589049,0.392699,9.996e-05
0,3,3,0,0.589049,0.589049,0.000128128
0,3,4,0,0.589049,0.785398,0.000151927
0,3,5,0,0.589049,0.981748,0.000171188
0,3,6,0,0.589049,1.1781,0.000186122
0,3,7,0,0.589049,1.37445,0.000197214
0,3,8,0,0.589049,1.5708,0.000205104
0,3,9,0,0.589049,1.76715,0.000210481
0,3,10,0,0.589049,1.9635,0.00021399
0,3,11,0,0.589049,2.15984,0.000216182
0,3,12,0,0.589049,2.35619,0.00021749
0,3,13,0,0.589049,2.55254,0.000218232
0,3,14,0,0.589049,2.74889,0.000218621
0,3,15,0,0.589049,2.94524,0.000218785
0,3,16,0,0.589049,3.14159,0.000218785
0,3,17,0,0.589049,3.33794,0.000218621
0,3,18,0,0.589049,3.53429,0.000218232
0,3,19,0,0.589049,3.73064,0.00021749
0,3,20,0,0.589049,3.92699,0.000216182
0,3,21,0,0.589049,4.12334,0.00021399
0,3,22,0,0.589049,4.31969,0.000210481
0,3,23,0,0.589049,4.51604,0.000205104
0,3,24,0,0.589049,4.71239,0.000197214
0,3,25,0,0.589049,4.90874,0.000186122
0,3,26,0,0.589049,5.10509,0.000171188
0,3,27,0,0.589049,5.30144,0.000151927
0,3,28,0,0.589049,5.49779,0.000128128
0,3,29,0,0.589049,5.69414,9.996e-05
